 # Fri Oct 16 11:59:45 2009
 # MSTW 2008 LO PDF grid for central fit.
 # distance(t),tolerance(T) =   0.  0.
 # mCharm = 1.43
 # mBottom = 4.30
 # alphaS(1GeV) = 0.49337
 # alphaS(MZ) = 0.12032
 # alphaSorder,alphaSnfmax = 0, 5
 # nExtraFlavours = 0
 
          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv
  9.1789E+02  2.1286E+01  2.1297E+01  2.0719E+01  1.9951E+01  1.7888E+01  7.7455E-03  1.8801E-02  0.0000E+00
  1.0029E+03  2.3573E+01  2.3584E+01  2.3009E+01  2.2245E+01  2.0195E+01  7.8252E-03  1.8926E-02  0.0000E+00
  1.0877E+03  2.5894E+01  2.5905E+01  2.5333E+01  2.4573E+01  2.2536E+01  7.9008E-03  1.9043E-02  0.0000E+00
  1.1715E+03  2.8224E+01  2.8235E+01  2.7666E+01  2.6909E+01  2.4884E+01  7.9722E-03  1.9154E-02  0.0000E+00
  1.2594E+03  3.0710E+01  3.0722E+01  3.0155E+01  2.9401E+01  2.7388E+01  8.0441E-03  1.9265E-02  0.0000E+00
  1.3496E+03  3.3301E+01  3.3312E+01  3.2748E+01  3.1998E+01  2.9996E+01  8.1150E-03  1.9375E-02  0.0000E+00
  1.4389E+03  3.5901E+01  3.5912E+01  3.5350E+01  3.4604E+01  3.2612E+01  8.1826E-03  1.9479E-02  0.0000E+00
  1.5266E+03  3.8488E+01  3.8499E+01  3.7939E+01  3.7196E+01  3.5214E+01  8.2467E-03  1.9577E-02  0.0000E+00
  1.6181E+03  4.1224E+01  4.1235E+01  4.0678E+01  3.9937E+01  3.7966E+01  8.3115E-03  1.9677E-02  0.0000E+00
  1.7116E+03  4.4054E+01  4.4065E+01  4.3509E+01  4.2772E+01  4.0810E+01  8.3756E-03  1.9775E-02  0.0000E+00
  1.8036E+03  4.6874E+01  4.6885E+01  4.6332E+01  4.5597E+01  4.3644E+01  8.4368E-03  1.9868E-02  0.0000E+00
  1.8936E+03  4.9662E+01  4.9674E+01  4.9122E+01  4.8390E+01  4.6446E+01  8.4952E-03  1.9957E-02  0.0000E+00
  1.9873E+03  5.2597E+01  5.2608E+01  5.2058E+01  5.1329E+01  4.9394E+01  8.5543E-03  2.0047E-02  0.0000E+00
  2.0827E+03  5.5614E+01  5.5626E+01  5.5078E+01  5.4351E+01  5.2424E+01  8.6129E-03  2.0136E-02  0.0000E+00
  2.1763E+03  5.8607E+01  5.8619E+01  5.8072E+01  5.7348E+01  5.5430E+01  8.6692E-03  2.0221E-02  0.0000E+00
  2.2677E+03  6.1555E+01  6.1567E+01  6.1022E+01  6.0300E+01  5.8389E+01  8.7228E-03  2.0302E-02  0.0000E+00
  2.3625E+03  6.4645E+01  6.4656E+01  6.4113E+01  6.3394E+01  6.1490E+01  8.7773E-03  2.0384E-02  0.0000E+00
  2.4588E+03  6.7810E+01  6.7821E+01  6.7280E+01  6.6563E+01  6.4667E+01  8.8315E-03  2.0465E-02  0.0000E+00
  2.5532E+03  7.0940E+01  7.0951E+01  7.0412E+01  6.9697E+01  6.7808E+01  8.8836E-03  2.0544E-02  0.0000E+00
  2.6451E+03  7.4013E+01  7.4024E+01  7.3486E+01  7.2773E+01  7.0891E+01  8.9333E-03  2.0618E-02  0.0000E+00
  2.7403E+03  7.7224E+01  7.7236E+01  7.6699E+01  7.5988E+01  7.4113E+01  8.9840E-03  2.0694E-02  0.0000E+00
  7.1648E+00  1.1463E+00  1.1571E+00  5.6982E-01  0.0000E+00  0.0000E+00  6.6294E-03  1.7466E-02  0.0000E+00
  1.2130E+01  1.1812E+00  1.1921E+00  6.0954E-01  0.0000E+00  0.0000E+00  6.7344E-03  1.7629E-02  0.0000E+00
  1.6978E+01  1.2244E+00  1.2353E+00  6.5619E-01  0.0000E+00  0.0000E+00  6.8148E-03  1.7752E-02  0.0000E+00
  2.6777E+01  1.3284E+00  1.3394E+00  7.6576E-01  0.0000E+00  0.0000E+00  6.9422E-03  1.7946E-02  0.0000E+00
  2.6777E+01  1.3284E+00  1.3394E+00  7.6576E-01  2.5996E-07  0.0000E+00  6.9422E-03  1.7946E-02  0.0000E+00
  3.4030E+01  1.4169E+00  1.4280E+00  8.5748E-01  9.7968E-02  0.0000E+00  7.0196E-03  1.8063E-02  0.0000E+00
  4.3980E+01  1.5485E+00  1.5595E+00  9.9274E-01  2.3835E-01  0.0000E+00  7.1102E-03  1.8200E-02  0.0000E+00
  5.3913E+01  1.6891E+00  1.7002E+00  1.1365E+00  3.8644E-01  0.0000E+00  7.1884E-03  1.8316E-02  0.0000E+00
  6.4696E+01  1.8502E+00  1.8614E+00  1.3006E+00  5.5462E-01  0.0000E+00  7.2634E-03  1.8428E-02  0.0000E+00
  7.7561E+01  2.0521E+00  2.0633E+00  1.5056E+00  7.6387E-01  0.0000E+00  7.3430E-03  1.8545E-02  0.0000E+00
  8.9993E+01  2.2556E+00  2.2669E+00  1.7118E+00  9.7367E-01  0.0000E+00  7.4121E-03  1.8647E-02  0.0000E+00
  1.0315E+02  2.4789E+00  2.4902E+00  1.9375E+00  1.2029E+00  0.0000E+00  7.4789E-03  1.8744E-02  0.0000E+00
  1.1442E+02  2.6758E+00  2.6871E+00  2.1364E+00  1.4045E+00  0.0000E+00  7.5318E-03  1.8821E-02  0.0000E+00
  1.4285E+02  3.1932E+00  3.2046E+00  2.6582E+00  1.9323E+00  0.0000E+00  7.6522E-03  1.8996E-02  0.0000E+00
  1.4285E+02  3.1932E+00  3.2046E+00  2.6582E+00  1.9323E+00  8.7604E-08  7.6522E-03  1.8996E-02  0.0000E+00
  1.6623E+02  3.6485E+00  3.6599E+00  3.1167E+00  2.3952E+00  4.8695E-01  7.7423E-03  1.9125E-02  0.0000E+00
  1.9773E+02  4.2839E+00  4.2954E+00  3.7559E+00  3.0397E+00  1.1485E+00  7.8516E-03  1.9281E-02  0.0000E+00
  2.3430E+02  5.0500E+00  5.0615E+00  4.5259E+00  3.8150E+00  1.9411E+00  7.9655E-03  1.9443E-02  0.0000E+00
  2.7098E+02  5.8449E+00  5.8564E+00  5.3242E+00  4.6181E+00  2.7596E+00  8.0690E-03  1.9589E-02  0.0000E+00
  3.1146E+02  6.7498E+00  6.7614E+00  6.2325E+00  5.5311E+00  3.6879E+00  8.1736E-03  1.9735E-02  0.0000E+00
  3.4779E+02  7.5839E+00  7.5955E+00  7.0693E+00  6.3718E+00  4.5410E+00  8.2605E-03  1.9857E-02  0.0000E+00
  3.9523E+02  8.7016E+00  8.7132E+00  8.1903E+00  7.4973E+00  5.6813E+00  8.3660E-03  2.0003E-02  0.0000E+00
  4.4039E+02  9.7927E+00  9.8044E+00  9.2843E+00  8.5953E+00  6.7922E+00  8.4596E-03  2.0132E-02  0.0000E+00
  4.8447E+02  1.0881E+01  1.0893E+01  1.0376E+01  9.6903E+00  7.8987E+00  8.5454E-03  2.0250E-02  0.0000E+00
  5.4412E+02  1.2389E+01  1.2401E+01  1.1886E+01  1.1206E+01  9.4285E+00  8.6546E-03  2.0399E-02  0.0000E+00
  6.0411E+02  1.3942E+01  1.3954E+01  1.3442E+01  1.2766E+01  1.1002E+01  8.7575E-03  2.0538E-02  0.0000E+00
  6.6378E+02  1.5520E+01  1.5532E+01  1.5023E+01  1.4350E+01  1.2599E+01  8.8540E-03  2.0669E-02  0.0000E+00
  7.2684E+02  1.7222E+01  1.7234E+01  1.6728E+01  1.6058E+01  1.4319E+01  8.9508E-03  2.0799E-02  0.0000E+00
  7.9187E+02  1.9011E+01  1.9023E+01  1.8519E+01  1.7854E+01  1.6126E+01  9.0457E-03  2.0926E-02  0.0000E+00
  8.5653E+02  2.0822E+01  2.0834E+01  2.0333E+01  1.9671E+01  1.7954E+01  9.1357E-03  2.1046E-02  0.0000E+00
  9.2019E+02  2.2635E+01  2.2647E+01  2.2148E+01  2.1489E+01  1.9783E+01  9.2207E-03  2.1159E-02  0.0000E+00
  9.8690E+02  2.4565E+01  2.4577E+01  2.4080E+01  2.3424E+01  2.1728E+01  9.3064E-03  2.1273E-02  0.0000E+00
  1.0552E+03  2.6570E+01  2.6582E+01  2.6088E+01  2.5435E+01  2.3748E+01  9.3908E-03  2.1384E-02  0.0000E+00
  1.1226E+03  2.8578E+01  2.8590E+01  2.8098E+01  2.7448E+01  2.5770E+01  9.4713E-03  2.1490E-02  0.0000E+00
  1.1886E+03  3.0572E+01  3.0584E+01  3.0094E+01  2.9446E+01  2.7777E+01  9.5477E-03  2.1590E-02  0.0000E+00
  1.2574E+03  3.2676E+01  3.2688E+01  3.2200E+01  3.1555E+01  2.9895E+01  9.6249E-03  2.1691E-02  0.0000E+00
  1.3276E+03  3.4848E+01  3.4860E+01  3.4373E+01  3.3731E+01  3.2079E+01  9.7013E-03  2.1790E-02  0.0000E+00
  1.3965E+03  3.7009E+01  3.7021E+01  3.6535E+01  3.5896E+01  3.4252E+01  9.7743E-03  2.1885E-02  0.0000E+00
  1.4638E+03  3.9141E+01  3.9153E+01  3.8669E+01  3.8032E+01  3.6395E+01  9.8439E-03  2.1975E-02  0.0000E+00
  1.5338E+03  4.1381E+01  4.1393E+01  4.0911E+01  4.0276E+01  3.8647E+01  9.9144E-03  2.2066E-02  0.0000E+00
  1.6048E+03  4.3680E+01  4.3692E+01  4.3212E+01  4.2580E+01  4.0958E+01  9.9844E-03  2.2157E-02  0.0000E+00
  1.6745E+03  4.5957E+01  4.5970E+01  4.5491E+01  4.4860E+01  4.3245E+01  1.0051E-02  2.2243E-02  0.0000E+00
  1.7424E+03  4.8197E+01  4.8209E+01  4.7732E+01  4.7103E+01  4.5495E+01  1.0115E-02  2.2325E-02  0.0000E+00
  1.8127E+03  5.0540E+01  5.0553E+01  5.0077E+01  4.9450E+01  4.7849E+01  1.0181E-02  2.2408E-02  0.0000E+00
  1.8841E+03  5.2938E+01  5.2950E+01  5.2476E+01  5.1851E+01  5.0256E+01  1.0245E-02  2.2491E-02  0.0000E+00
  1.9539E+03  5.5305E+01  5.5318E+01  5.4844E+01  5.4222E+01  5.2633E+01  1.0307E-02  2.2570E-02  0.0000E+00
  2.0218E+03  5.7627E+01  5.7639E+01  5.7167E+01  5.6547E+01  5.4963E+01  1.0367E-02  2.2646E-02  0.0000E+00
  2.0921E+03  6.0050E+01  6.0062E+01  5.9591E+01  5.8973E+01  5.7395E+01  1.0427E-02  2.2723E-02  0.0000E+00
  6.3890E+00  9.9212E-01  1.0039E+00  4.9206E-01  0.0000E+00  0.0000E+00  7.9968E-03  1.9749E-02  0.0000E+00
  1.0728E+01  1.0233E+00  1.0351E+00  5.2736E-01  0.0000E+00  0.0000E+00  8.1277E-03  1.9932E-02  0.0000E+00
  1.4915E+01  1.0614E+00  1.0732E+00  5.6842E-01  0.0000E+00  0.0000E+00  8.2279E-03  2.0071E-02  0.0000E+00
  2.3271E+01  1.1521E+00  1.1640E+00  6.6382E-01  0.0000E+00  0.0000E+00  8.3865E-03  2.0289E-02  0.0000E+00
  2.3271E+01  1.1521E+00  1.1640E+00  6.6382E-01  2.2509E-07  0.0000E+00  8.3865E-03  2.0289E-02  0.0000E+00
  2.9385E+01  1.2284E+00  1.2403E+00  7.4293E-01  8.4551E-02  0.0000E+00  8.4829E-03  2.0421E-02  0.0000E+00
  3.7699E+01  1.3410E+00  1.3530E+00  8.5871E-01  2.0480E-01  0.0000E+00  8.5957E-03  2.0574E-02  0.0000E+00
  4.5932E+01  1.4604E+00  1.4724E+00  9.8087E-01  3.3073E-01  0.0000E+00  8.6928E-03  2.0705E-02  0.0000E+00
  5.4805E+01  1.5964E+00  1.6085E+00  1.1194E+00  4.7284E-01  0.0000E+00  8.7860E-03  2.0829E-02  0.0000E+00
  6.5322E+01  1.7658E+00  1.7779E+00  1.2914E+00  6.4855E-01  0.0000E+00  8.8849E-03  2.0961E-02  0.0000E+00
  7.5419E+01  1.9355E+00  1.9476E+00  1.4634E+00  8.2372E-01  0.0000E+00  8.9707E-03  2.1075E-02  0.0000E+00
  8.6050E+01  2.1208E+00  2.1329E+00  1.6508E+00  1.0141E+00  0.0000E+00  9.0536E-03  2.1185E-02  0.0000E+00
  9.5109E+01  2.2834E+00  2.2956E+00  1.8151E+00  1.1808E+00  0.0000E+00  9.1193E-03  2.1271E-02  0.0000E+00
  1.1782E+02  2.7082E+00  2.7204E+00  2.2437E+00  1.6146E+00  0.0000E+00  9.2686E-03  2.1466E-02  0.0000E+00
  1.1782E+02  2.7082E+00  2.7204E+00  2.2437E+00  1.6146E+00  7.1786E-08  9.2686E-03  2.1466E-02  0.0000E+00
  1.3634E+02  3.0793E+00  3.0916E+00  2.6175E+00  1.9923E+00  3.9792E-01  9.3804E-03  2.1611E-02  0.0000E+00
  1.6111E+02  3.5939E+00  3.6061E+00  3.1353E+00  2.5147E+00  9.3489E-01  9.5159E-03  2.1786E-02  0.0000E+00
  1.8967E+02  4.2100E+00  4.2223E+00  3.7547E+00  3.1388E+00  1.5738E+00  9.6570E-03  2.1967E-02  0.0000E+00
  2.1812E+02  4.8451E+00  4.8574E+00  4.3927E+00  3.7809E+00  2.2291E+00  9.7851E-03  2.2130E-02  0.0000E+00
  2.4933E+02  5.5637E+00  5.5761E+00  5.1143E+00  4.5066E+00  2.9678E+00  9.9146E-03  2.2294E-02  0.0000E+00
  2.7718E+02  6.2227E+00  6.2351E+00  5.7756E+00  5.1713E+00  3.6431E+00  1.0022E-02  2.2430E-02  0.0000E+00
  3.1336E+02  7.1011E+00  7.1136E+00  6.6569E+00  6.0565E+00  4.5410E+00  1.0153E-02  2.2594E-02  0.0000E+00
  3.4761E+02  7.9543E+00  7.9668E+00  7.5125E+00  6.9156E+00  5.4110E+00  1.0268E-02  2.2738E-02  0.0000E+00
  3.8090E+02  8.8018E+00  8.8143E+00  8.3622E+00  7.7684E+00  6.2738E+00  1.0375E-02  2.2870E-02  0.0000E+00
  4.2572E+02  9.9698E+00  9.9823E+00  9.5329E+00  8.9431E+00  7.4608E+00  1.0509E-02  2.3037E-02  0.0000E+00
  4.7058E+02  1.1167E+01  1.1180E+01  1.0733E+01  1.0146E+01  8.6755E+00  1.0637E-02  2.3194E-02  0.0000E+00
  5.1499E+02  1.2378E+01  1.2391E+01  1.1946E+01  1.1363E+01  9.9027E+00  1.0756E-02  2.3340E-02  0.0000E+00
  5.6172E+02  1.3678E+01  1.3691E+01  1.3249E+01  1.2669E+01  1.1219E+01  1.0875E-02  2.3486E-02  0.0000E+00
  6.0972E+02  1.5040E+01  1.5053E+01  1.4613E+01  1.4036E+01  1.2596E+01  1.0993E-02  2.3629E-02  0.0000E+00
  6.5725E+02  1.6413E+01  1.6426E+01  1.5988E+01  1.5414E+01  1.3983E+01  1.1104E-02  2.3764E-02  0.0000E+00
  7.0389E+02  1.7783E+01  1.7796E+01  1.7359E+01  1.6789E+01  1.5367E+01  1.1209E-02  2.3891E-02  0.0000E+00
  7.5258E+02  1.9236E+01  1.9249E+01  1.8814E+01  1.8246E+01  1.6833E+01  1.1314E-02  2.4018E-02  0.0000E+00
  8.0227E+02  2.0741E+01  2.0754E+01  2.0321E+01  1.9756E+01  1.8351E+01  1.1419E-02  2.4143E-02  0.0000E+00
  8.5116E+02  2.2244E+01  2.2256E+01  2.1825E+01  2.1263E+01  1.9865E+01  1.1518E-02  2.4262E-02  0.0000E+00
  8.9892E+02  2.3731E+01  2.3744E+01  2.3314E+01  2.2754E+01  2.1364E+01  1.1612E-02  2.4375E-02  0.0000E+00
  9.4855E+02  2.5296E+01  2.5309E+01  2.4882E+01  2.4323E+01  2.2941E+01  1.1707E-02  2.4489E-02  0.0000E+00
  9.9900E+02  2.6908E+01  2.6921E+01  2.6495E+01  2.5939E+01  2.4563E+01  1.1802E-02  2.4601E-02  0.0000E+00
  1.0485E+03  2.8507E+01  2.8519E+01  2.8095E+01  2.7541E+01  2.6172E+01  1.1892E-02  2.4708E-02  0.0000E+00
  1.0966E+03  3.0081E+01  3.0094E+01  2.9671E+01  2.9119E+01  2.7756E+01  1.1978E-02  2.4810E-02  0.0000E+00
  1.1466E+03  3.1731E+01  3.1744E+01  3.1322E+01  3.0772E+01  2.9416E+01  1.2064E-02  2.4913E-02  0.0000E+00
  1.1972E+03  3.3421E+01  3.3434E+01  3.3013E+01  3.2465E+01  3.1115E+01  1.2151E-02  2.5015E-02  0.0000E+00
  1.2467E+03  3.5090E+01  3.5103E+01  3.4684E+01  3.4138E+01  3.2794E+01  1.2234E-02  2.5112E-02  0.0000E+00
  1.2948E+03  3.6729E+01  3.6742E+01  3.6324E+01  3.5780E+01  3.4442E+01  1.2312E-02  2.5205E-02  0.0000E+00
  1.3446E+03  3.8441E+01  3.8454E+01  3.8037E+01  3.7495E+01  3.6162E+01  1.2393E-02  2.5299E-02  0.0000E+00
  1.3950E+03  4.0188E+01  4.0201E+01  3.9786E+01  3.9245E+01  3.7918E+01  1.2472E-02  2.5393E-02  0.0000E+00
  1.4443E+03  4.1911E+01  4.1923E+01  4.1509E+01  4.0970E+01  3.9648E+01  1.2549E-02  2.5483E-02  0.0000E+00
  1.4921E+03  4.3596E+01  4.3609E+01  4.3196E+01  4.2659E+01  4.1341E+01  1.2622E-02  2.5569E-02  0.0000E+00
  1.5414E+03  4.5353E+01  4.5366E+01  4.4953E+01  4.4418E+01  4.3106E+01  1.2697E-02  2.5656E-02  0.0000E+00
  5.9669E+00  9.1018E-01  9.2242E-01  4.5057E-01  0.0000E+00  0.0000E+00  9.0470E-03  2.1287E-02  0.0000E+00
  9.9671E+00  9.3937E-01  9.5166E-01  4.8346E-01  0.0000E+00  0.0000E+00  9.1969E-03  2.1486E-02  0.0000E+00
  1.3797E+01  9.7463E-01  9.8696E-01  5.2150E-01  0.0000E+00  0.0000E+00  9.3116E-03  2.1637E-02  0.0000E+00
  2.1380E+01  1.0581E+00  1.0705E+00  6.0926E-01  0.0000E+00  0.0000E+00  9.4931E-03  2.1874E-02  0.0000E+00
  2.1380E+01  1.0581E+00  1.0705E+00  6.0926E-01  2.0632E-07  0.0000E+00  9.4931E-03  2.1874E-02  0.0000E+00
  2.6887E+01  1.1279E+00  1.1403E+00  6.8160E-01  7.7340E-02  0.0000E+00  9.6033E-03  2.2018E-02  0.0000E+00
  3.4333E+01  1.2304E+00  1.2428E+00  7.8694E-01  1.8680E-01  0.0000E+00  9.7323E-03  2.2184E-02  0.0000E+00
  4.1666E+01  1.3385E+00  1.3510E+00  8.9757E-01  3.0090E-01  0.0000E+00  9.8435E-03  2.2327E-02  0.0000E+00
  4.9533E+01  1.4612E+00  1.4737E+00  1.0225E+00  4.2912E-01  0.0000E+00  9.9500E-03  2.2463E-02  0.0000E+00
  5.8813E+01  1.6133E+00  1.6258E+00  1.1770E+00  5.8702E-01  0.0000E+00  1.0063E-02  2.2607E-02  0.0000E+00
  6.7688E+01  1.7651E+00  1.7777E+00  1.3309E+00  7.4384E-01  0.0000E+00  1.0161E-02  2.2731E-02  0.0000E+00
  7.6996E+01  1.9303E+00  1.9429E+00  1.4980E+00  9.1374E-01  0.0000E+00  1.0256E-02  2.2850E-02  0.0000E+00
  8.4903E+01  2.0749E+00  2.0875E+00  1.6441E+00  1.0620E+00  0.0000E+00  1.0331E-02  2.2945E-02  0.0000E+00
  1.0464E+02  2.4509E+00  2.4636E+00  2.0236E+00  1.4463E+00  0.0000E+00  1.0502E-02  2.3158E-02  0.0000E+00
  1.0464E+02  2.4509E+00  2.4636E+00  2.0236E+00  1.4463E+00  6.3478E-08  1.0502E-02  2.3158E-02  0.0000E+00
  1.2063E+02  2.7779E+00  2.7906E+00  2.3531E+00  1.7794E+00  3.5122E-01  1.0629E-02  2.3317E-02  0.0000E+00
  1.4193E+02  3.2293E+00  3.2421E+00  2.8074E+00  2.2380E+00  8.2305E-01  1.0784E-02  2.3508E-02  0.0000E+00
  1.6636E+02  3.7673E+00  3.7800E+00  3.3484E+00  2.7832E+00  1.3818E+00  1.0945E-02  2.3706E-02  0.0000E+00
  1.9058E+02  4.3194E+00  4.3322E+00  3.9031E+00  3.3417E+00  1.9523E+00  1.1091E-02  2.3885E-02  0.0000E+00
  2.1703E+02  4.9415E+00  4.9544E+00  4.5279E+00  3.9703E+00  2.5927E+00  1.1239E-02  2.4065E-02  0.0000E+00
  2.4055E+02  5.5099E+00  5.5228E+00  5.0985E+00  4.5439E+00  3.1759E+00  1.1362E-02  2.4214E-02  0.0000E+00
  2.7098E+02  6.2649E+00  6.2778E+00  5.8560E+00  5.3051E+00  3.9486E+00  1.1511E-02  2.4394E-02  0.0000E+00
  2.9968E+02  6.9956E+00  7.0085E+00  6.5889E+00  6.0412E+00  4.6947E+00  1.1643E-02  2.4553E-02  0.0000E+00
  3.2748E+02  7.7191E+00  7.7321E+00  7.3144E+00  6.7696E+00  5.4321E+00  1.1764E-02  2.4698E-02  0.0000E+00
  3.6478E+02  8.7130E+00  8.7259E+00  8.3107E+00  7.7695E+00  6.4432E+00  1.1918E-02  2.4882E-02  0.0000E+00
  4.0197E+02  9.7280E+00  9.7410E+00  9.3281E+00  8.7902E+00  7.4743E+00  1.2062E-02  2.5055E-02  0.0000E+00
  4.3867E+02  1.0752E+01  1.0765E+01  1.0354E+01  9.8189E+00  8.5125E+00  1.2198E-02  2.5217E-02  0.0000E+00
  4.7716E+02  1.1847E+01  1.1860E+01  1.1452E+01  1.0920E+01  9.6227E+00  1.2335E-02  2.5378E-02  0.0000E+00
  5.1657E+02  1.2991E+01  1.3004E+01  1.2598E+01  1.2069E+01  1.0781E+01  1.2468E-02  2.5536E-02  0.0000E+00
  5.5548E+02  1.4142E+01  1.4155E+01  1.3750E+01  1.3224E+01  1.1944E+01  1.2595E-02  2.5685E-02  0.0000E+00
  5.9356E+02  1.5286E+01  1.5299E+01  1.4896E+01  1.4372E+01  1.3101E+01  1.2714E-02  2.5825E-02  0.0000E+00
  6.3321E+02  1.6497E+01  1.6510E+01  1.6109E+01  1.5588E+01  1.4324E+01  1.2835E-02  2.5966E-02  0.0000E+00
  6.7358E+02  1.7749E+01  1.7762E+01  1.7362E+01  1.6844E+01  1.5587E+01  1.2953E-02  2.6105E-02  0.0000E+00
  7.1320E+02  1.8996E+01  1.9009E+01  1.8611E+01  1.8094E+01  1.6845E+01  1.3067E-02  2.6238E-02  0.0000E+00
  7.5181E+02  2.0227E+01  2.0240E+01  1.9843E+01  1.9329E+01  1.8087E+01  1.3174E-02  2.6363E-02  0.0000E+00
  7.9186E+02  2.1521E+01  2.1534E+01  2.1138E+01  2.0626E+01  1.9390E+01  1.3282E-02  2.6489E-02  0.0000E+00
  8.3248E+02  2.2850E+01  2.2863E+01  2.2469E+01  2.1959E+01  2.0729E+01  1.3389E-02  2.6614E-02  0.0000E+00
  8.7222E+02  2.4166E+01  2.4179E+01  2.3786E+01  2.3278E+01  2.2055E+01  1.3492E-02  2.6733E-02  0.0000E+00
  9.1085E+02  2.5459E+01  2.5472E+01  2.5081E+01  2.4574E+01  2.3357E+01  1.3590E-02  2.6846E-02  0.0000E+00
  9.5082E+02  2.6812E+01  2.6825E+01  2.6435E+01  2.5931E+01  2.4719E+01  1.3688E-02  2.6961E-02  0.0000E+00
  9.9127E+02  2.8195E+01  2.8209E+01  2.7820E+01  2.7317E+01  2.6111E+01  1.3787E-02  2.7074E-02  0.0000E+00
  1.0308E+03  2.9560E+01  2.9574E+01  2.9186E+01  2.8685E+01  2.7484E+01  1.3881E-02  2.7183E-02  0.0000E+00
