1.21  0.58 83.3   0.97 -19.8  0.81 169.3  0.80 53.6   1.00 -2.6  0.97  0.1
1.23  0.60 86.7   0.96 -20.0  0.84 168.8  0.74 62.3   0.99 -2.7  0.98  0.4
1.25  0.69 88.9   0.95 -20.3  0.85 168.9  0.74 75.0   0.99 -2.8  0.98  0.4
1.27  0.68 92.5   0.95 -20.6  0.89 170.7  0.70 87.7   0.99 -2.8  0.99  0.3
1.29  0.82 99.7   0.94 -20.9  0.90 171.1  0.59 101.2  0.99 -2.9  1.00  0.6
1.31  0.78 104.2  0.93 -21.1  0.81 174.5  0.72 112.8  0.99 -3.0  1.01  0.4
1.33  0.71 109.0  0.92 -21.4  0.74 176.7  0.75 122.2  0.99 -3.1  1.02  0.4
1.35  0.73 113.2  0.91 -21.7  0.69 0.6    0.71 132.7  0.98 -3.2  1.04  0.4
1.37  0.62 121.7  0.90 -22.0  0.69 3.1    0.77 137.6  0.98 -3.3  1.05  1.0
1.39  0.57 126.2  0.89 -22.3  0.65 4.9    0.80 143.1  0.98 -3.4  1.04  1.2
1.41  0.53 133.1  0.88 -22.6  0.60 5.6    0.81 147.1  0.98 -3.5  1.04  1.6
1.43  0.51 137.8  0.87 -22.9  0.53 5.8    0.82 150.3  0.98 -3.5  1.04  2.4
1.45  0.48 145.1  0.86 -23.3  0.49 5.7    0.81 153.8  0.97 -3.6  1.03  2.7
1.47  0.51 154.6  0.85 -23.6  0.48 5.0    0.82 157.7  0.97 -3.7  1.04  3.6
1.49  0.54 160.4  0.84 -23.9  0.44 4.2    0.82 159.8  0.97 -3.8  1.03  4.4
1.51  0.59 166.1  0.83 -24.2  0.41 3.1    0.82 161.7  0.97 -3.9  1.02  5.4
1.53  0.61 170.2  0.82 -24.5  0.37 0.6    0.80 163.6  0.96 -3.9  1.00  6.2
1.55  0.63 174.4  0.81 -24.9  0.33 177.7  0.77 165.2  0.96 -4.0  0.97  7.2
1.57  0.67 177.0  0.79 -25.2  0.27 176.9  0.69 167.6  0.96 -4.1  0.91  7.5
1.59  0.77 3.0    0.78 -25.5  0.29 169.3  0.79 168.4  0.96 -4.2  0.93  9.6
1.61  0.80 7.5    0.77 -25.8  0.30 162.9  0.77 169.9  0.95 -4.3  0.89  10.6
1.63  0.85 12.1   0.76 -26.2  0.33 157.7  0.76 171.8  0.95 -4.3  0.83  11.9
1.65  0.88 17.1   0.75 -26.5  0.40 154.2  0.77 173.2  0.95 -4.4  0.76  12.8
1.67  0.87 21.8   0.74 -26.9  0.49 153.2  0.74 175.4  0.95 -4.5  0.69  12.5
1.69  0.83 26.4   0.73 -27.2  0.59 154.3  0.75 177.3  0.94 -4.6  0.62  11.1
1.71  0.72 31.4   0.71 -27.6  0.68 155.9  0.61 178.6  0.94 -4.6  0.56  8.4
1.73  0.59 35.3   0.70 -27.9  0.75 158.4  0.59 179.0  0.94 -4.7  0.54  4.6
1.75  0.43 35.5   0.69 -28.3  0.80 161.5  0.55 179.2  0.93 -4.8  0.56  1.2
1.77  0.30 30.7   0.68 -28.6  0.82 164.2  0.51 178.3  0.93 -4.8  0.60 -0.8
1.79  0.21 21.6   0.67 -29.0  0.84 166.8  0.52 179.2  0.93 -4.9  0.65 -1.9

