 # Tue Oct 27 14:26:24 2009
 # MSTW 2008 LO PDF grid for central fit.
 # distance(t),tolerance(T) =   0.  0.
 # mCharm = 1.43
 # mBottom = 4.30
 # alphaS(1GeV) = 0.40768
 # alphaS(MZ) = 0.11517
 # alphaSorder,alphaSnfmax = 0, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv
  1.7107E+03  4.3251E+01  4.3263E+01  4.2714E+01  4.1968E+01  4.0127E+01  7.7004E-03  1.9816E-02 -1.1369E-12
  1.7967E+03  4.5847E+01  4.5859E+01  4.5312E+01  4.4569E+01  4.2736E+01  7.7523E-03  1.9886E-02 -1.2221E-12
  1.8863E+03  4.8583E+01  4.8595E+01  4.8050E+01  4.7309E+01  4.5484E+01  7.8049E-03  1.9957E-02 -1.3074E-12
  1.9775E+03  5.1400E+01  5.1412E+01  5.0869E+01  5.0130E+01  4.8313E+01  7.8572E-03  2.0028E-02 -1.3927E-12
  2.0672E+03  5.4197E+01  5.4209E+01  5.3667E+01  5.2932E+01  5.1122E+01  7.9075E-03  2.0096E-02 -1.4921E-12
  2.1548E+03  5.6955E+01  5.6967E+01  5.6427E+01  5.5694E+01  5.3891E+01  7.9555E-03  2.0161E-02 -1.5916E-12
  2.2458E+03  5.9849E+01  5.9861E+01  5.9323E+01  5.8592E+01  5.6795E+01  8.0043E-03  2.0226E-02 -1.6911E-12
  2.3383E+03  6.2816E+01  6.2829E+01  6.2292E+01  6.1563E+01  5.9774E+01  8.0529E-03  2.0291E-02 -1.8048E-12
  2.4291E+03  6.5754E+01  6.5767E+01  6.5231E+01  6.4505E+01  6.2722E+01  8.0997E-03  2.0354E-02 -1.9327E-12
  2.5175E+03  6.8641E+01  6.8654E+01  6.8120E+01  6.7396E+01  6.5619E+01  8.1444E-03  2.0414E-02 -2.0179E-12
  2.6093E+03  7.1662E+01  7.1674E+01  7.1142E+01  7.0420E+01  6.8649E+01  8.1901E-03  2.0474E-02 -2.1600E-12
  1.0755E+01  1.1277E+00  1.1395E+00  5.6072E-01  0.0000E+00  0.0000E+00  6.2570E-03  1.8099E-02  0.0000E+00
  1.6108E+01  1.1719E+00  1.1838E+00  6.0882E-01  8.6736E-19  8.6736E-19  6.3282E-03  1.8198E-02  0.0000E+00
  2.1161E+01  1.2205E+00  1.2324E+00  6.6043E-01  6.0715E-18  6.0715E-18  6.3852E-03  1.8277E-02  0.0000E+00
  3.1092E+01  1.3295E+00  1.3414E+00  7.7427E-01  3.1225E-17  3.1225E-17  6.4796E-03  1.8406E-02  0.0000E+00
  3.1092E+01  1.3295E+00  1.3414E+00  7.7427E-01  2.6186E-07  3.1225E-17  6.4796E-03  1.8406E-02  0.0000E+00
  3.8294E+01  1.4181E+00  1.4300E+00  8.6594E-01  9.7661E-02  6.0715E-17  6.5390E-03  1.8487E-02  2.2204E-16
  4.8045E+01  1.5467E+00  1.5586E+00  9.9806E-01  2.3471E-01  1.2317E-16  6.6100E-03  1.8583E-02  2.2204E-16
  5.7680E+01  1.6816E+00  1.6936E+00  1.1361E+00  3.7697E-01  2.1337E-16  6.6725E-03  1.8666E-02  4.4409E-16
  6.8060E+01  1.8344E+00  1.8464E+00  1.2918E+00  5.3668E-01  3.4521E-16  6.7332E-03  1.8747E-02  8.8818E-16
  8.0371E+01  2.0239E+00  2.0359E+00  1.4844E+00  7.3355E-01  5.4210E-16  6.7985E-03  1.8832E-02  8.8818E-16
  9.2211E+01  2.2136E+00  2.2256E+00  1.6767E+00  9.2954E-01  7.6848E-16  6.8558E-03  1.8907E-02  1.3323E-15
  1.0470E+02  2.4206E+00  2.4326E+00  1.8862E+00  1.1426E+00  1.0261E-15  6.9115E-03  1.8980E-02  2.2204E-15
  1.1537E+02  2.6024E+00  2.6145E+00  2.0700E+00  1.3291E+00  1.2611E-15  6.9560E-03  1.9037E-02  2.6645E-15
  1.4222E+02  3.0783E+00  3.0904E+00  2.5503E+00  1.8156E+00  1.9047E-15  7.0578E-03  1.9167E-02  3.5527E-15
  1.4222E+02  3.0783E+00  3.0904E+00  2.5503E+00  1.8156E+00  8.0536E-08  7.0578E-03  1.9167E-02  3.5527E-15
  1.6426E+02  3.4955E+00  3.5077E+00  2.9708E+00  2.2407E+00  4.4709E-01  7.1344E-03  1.9264E-02  5.3291E-15
  1.9389E+02  4.0767E+00  4.0888E+00  3.5558E+00  2.8310E+00  1.0529E+00  7.2275E-03  1.9380E-02  7.1054E-15
  2.2826E+02  4.7764E+00  4.7885E+00  4.2594E+00  3.5400E+00  1.7777E+00  7.3246E-03  1.9500E-02  1.0658E-14
  2.6271E+02  5.5019E+00  5.5141E+00  4.9884E+00  4.2737E+00  2.5254E+00  7.4129E-03  1.9608E-02  1.4211E-14
  3.0073E+02  6.3279E+00  6.3401E+00  5.8177E+00  5.1078E+00  3.3732E+00  7.5022E-03  1.9717E-02  1.9540E-14
  3.3486E+02  7.0895E+00  7.1018E+00  6.5821E+00  5.8760E+00  4.1525E+00  7.5765E-03  1.9806E-02  2.3093E-14
  3.7945E+02  8.1107E+00  8.1230E+00  7.6066E+00  6.9051E+00  5.1948E+00  7.6669E-03  1.9914E-02  2.8422E-14
  4.2191E+02  9.1087E+00  9.1209E+00  8.6073E+00  7.9098E+00  6.2110E+00  7.7472E-03  2.0009E-02  3.1974E-14
  4.6341E+02  1.0105E+01  1.0118E+01  9.6066E+00  8.9127E+00  7.2243E+00  7.8211E-03  2.0096E-02  3.9080E-14
  5.1962E+02  1.1487E+01  1.1500E+01  1.0992E+01  1.0302E+01  8.6267E+00  7.9152E-03  2.0205E-02  4.2633E-14
  5.7622E+02  1.2913E+01  1.2925E+01  1.2420E+01  1.1735E+01  1.0071E+01  8.0041E-03  2.0308E-02  4.9738E-14
  6.3259E+02  1.4364E+01  1.4376E+01  1.3874E+01  1.3192E+01  1.1540E+01  8.0878E-03  2.0405E-02  5.3291E-14
  6.9223E+02  1.5931E+01  1.5943E+01  1.5443E+01  1.4765E+01  1.3124E+01  8.1719E-03  2.0501E-02  6.0396E-14
  7.5384E+02  1.7581E+01  1.7593E+01  1.7096E+01  1.6422E+01  1.4790E+01  8.2546E-03  2.0595E-02  6.3949E-14
  8.1515E+02  1.9253E+01  1.9266E+01  1.8771E+01  1.8100E+01  1.6478E+01  8.3332E-03  2.0684E-02  7.1054E-14
  8.7561E+02  2.0930E+01  2.0943E+01  2.0450E+01  1.9782E+01  1.8170E+01  8.4077E-03  2.0767E-02  7.1054E-14
  9.3904E+02  2.2718E+01  2.2730E+01  2.2240E+01  2.1575E+01  1.9972E+01  8.4829E-03  2.0851E-02  7.8160E-14
  1.0040E+03  2.4578E+01  2.4591E+01  2.4102E+01  2.3441E+01  2.1846E+01  8.5572E-03  2.0934E-02  7.8160E-14
  1.0683E+03  2.6444E+01  2.6456E+01  2.5970E+01  2.5311E+01  2.3725E+01  8.6281E-03  2.1012E-02  8.5265E-14
  1.1313E+03  2.8299E+01  2.8311E+01  2.7827E+01  2.7171E+01  2.5592E+01  8.6955E-03  2.1087E-02  8.5265E-14
  1.1970E+03  3.0259E+01  3.0271E+01  2.9789E+01  2.9135E+01  2.7564E+01  8.7638E-03  2.1162E-02  9.2371E-14
  1.2641E+03  3.2284E+01  3.2297E+01  3.1816E+01  3.1166E+01  2.9602E+01  8.8316E-03  2.1236E-02  9.2371E-14
  1.3302E+03  3.4302E+01  3.4315E+01  3.3836E+01  3.3188E+01  3.1631E+01  8.8964E-03  2.1307E-02  9.9476E-14
  1.3947E+03  3.6296E+01  3.6309E+01  3.5831E+01  3.5185E+01  3.3636E+01  8.9583E-03  2.1374E-02  9.9476E-14
  1.4618E+03  3.8393E+01  3.8406E+01  3.7930E+01  3.7286E+01  3.5743E+01  9.0211E-03  2.1442E-02  9.9476E-14
  1.5300E+03  4.0549E+01  4.0561E+01  4.0087E+01  3.9446E+01  3.7909E+01  9.0836E-03  2.1509E-02  9.9476E-14
  1.5970E+03  4.2685E+01  4.2698E+01  4.2225E+01  4.1586E+01  4.0056E+01  9.1435E-03  2.1574E-02  9.9476E-14
  1.6623E+03  4.4789E+01  4.4802E+01  4.4331E+01  4.3693E+01  4.2169E+01  9.2008E-03  2.1635E-02  9.9476E-14
  1.7300E+03  4.6993E+01  4.7005E+01  4.6536E+01  4.5901E+01  4.4383E+01  9.2591E-03  2.1698E-02  1.1369E-13
  1.7988E+03  4.9250E+01  4.9262E+01  4.8794E+01  4.8161E+01  4.6649E+01  9.3172E-03  2.1760E-02  1.1369E-13
  1.8662E+03  5.1481E+01  5.1493E+01  5.1026E+01  5.0395E+01  4.8889E+01  9.3731E-03  2.1819E-02  1.1369E-13
  1.9317E+03  5.3670E+01  5.3683E+01  5.3217E+01  5.2588E+01  5.1086E+01  9.4265E-03  2.1876E-02  1.1369E-13
  1.9996E+03  5.5958E+01  5.5970E+01  5.5506E+01  5.4879E+01  5.3382E+01  9.4811E-03  2.1934E-02  1.1369E-13
  9.5780E+00  9.7197E-01  9.8439E-01  4.8220E-01  0.0000E+00  0.0000E+00  7.5714E-03  1.9988E-02  0.0000E+00
  1.4242E+01  1.0114E+00  1.0238E+00  5.2493E-01  1.5613E-17  1.5613E-17  7.6619E-03  2.0097E-02  0.0000E+00
  1.8600E+01  1.0543E+00  1.0667E+00  5.7039E-01  8.1532E-17  8.1532E-17  7.7343E-03  2.0184E-02  2.2204E-16
  2.7068E+01  1.1494E+00  1.1619E+00  6.6973E-01  3.5215E-16  3.5215E-16  7.8541E-03  2.0326E-02  6.6613E-16
  2.7068E+01  1.1494E+00  1.1619E+00  6.6973E-01  2.2726E-07  3.5215E-16  7.8541E-03  2.0326E-02  6.6613E-16
  3.3145E+01  1.2261E+00  1.2386E+00  7.4902E-01  8.4504E-02  6.4272E-16  7.9295E-03  2.0415E-02  1.3323E-15
  4.1308E+01  1.3365E+00  1.3490E+00  8.6250E-01  2.0226E-01  1.2126E-15  8.0196E-03  2.0521E-02  2.4425E-15
  4.9312E+01  1.4516E+00  1.4642E+00  9.8023E-01  3.2368E-01  2.0088E-15  8.0987E-03  2.0613E-02  3.9968E-15
  5.7878E+01  1.5811E+00  1.5936E+00  1.1122E+00  4.5918E-01  3.1104E-15  8.1756E-03  2.0702E-02  6.2172E-15
  6.7973E+01  1.7408E+00  1.7534E+00  1.2745E+00  6.2521E-01  4.6699E-15  8.2582E-03  2.0796E-02  9.3259E-15
  7.7624E+01  1.8997E+00  1.9123E+00  1.4357E+00  7.8960E-01  6.3057E-15  8.3307E-03  2.0879E-02  1.2434E-14
  8.7752E+01  2.0723E+00  2.0849E+00  1.6105E+00  9.6739E-01  7.9849E-15  8.4012E-03  2.0958E-02  1.5987E-14
  9.6364E+01  2.2233E+00  2.2358E+00  1.7631E+00  1.1224E+00  9.4143E-15  8.4573E-03  2.1021E-02  1.8652E-14
  1.1790E+02  2.6160E+00  2.6286E+00  2.1596E+00  1.5243E+00  1.3242E-14  8.5858E-03  2.1164E-02  2.6645E-14
  1.1790E+02  2.6160E+00  2.6286E+00  2.1596E+00  1.5243E+00  6.6345E-08  8.5858E-03  2.1164E-02  2.6645E-14
  1.3543E+02  2.9580E+00  2.9706E+00  2.5044E+00  1.8730E+00  3.6731E-01  8.6825E-03  2.1270E-02  3.4639E-14
  1.5885E+02  3.4312E+00  3.4438E+00  2.9809E+00  2.3542E+00  8.6183E-01  8.7997E-03  2.1398E-02  5.0626E-14
  1.8582E+02  3.9971E+00  4.0097E+00  3.5501E+00  2.9281E+00  1.4493E+00  8.9218E-03  2.1530E-02  7.2831E-14
  2.1267E+02  4.5802E+00  4.5928E+00  4.1361E+00  3.5182E+00  2.0514E+00  9.0328E-03  2.1649E-02  9.5923E-14
  2.4213E+02  5.2401E+00  5.2527E+00  4.7988E+00  4.1851E+00  2.7300E+00  9.1450E-03  2.1768E-02  1.2079E-13
  2.6843E+02  5.8454E+00  5.8580E+00  5.4065E+00  4.7960E+00  3.3505E+00  9.2383E-03  2.1866E-02  1.4211E-13
  3.0261E+02  6.6528E+00  6.6655E+00  6.2167E+00  5.6102E+00  4.1761E+00  9.3516E-03  2.1984E-02  1.6698E-13
  3.3499E+02  7.4378E+00  7.4504E+00  7.0041E+00  6.4011E+00  4.9768E+00  9.4522E-03  2.2088E-02  1.8829E-13
  3.6649E+02  8.2184E+00  8.2311E+00  7.7868E+00  7.1869E+00  5.7716E+00  9.5448E-03  2.2184E-02  2.0783E-13
  4.0895E+02  9.2955E+00  9.3082E+00  8.8666E+00  8.2706E+00  6.8663E+00  9.6626E-03  2.2304E-02  2.3448E-13
  4.5150E+02  1.0401E+01  1.0414E+01  9.9748E+00  9.3823E+00  7.9883E+00  9.7738E-03  2.2417E-02  2.5580E-13
  4.9367E+02  1.1521E+01  1.1534E+01  1.1097E+01  1.0508E+01  9.1233E+00  9.8785E-03  2.2523E-02  2.7711E-13
  5.3810E+02  1.2726E+01  1.2738E+01  1.2304E+01  1.1718E+01  1.0343E+01  9.9836E-03  2.2629E-02  3.0198E-13
  5.8380E+02  1.3989E+01  1.4002E+01  1.3569E+01  1.2987E+01  1.1620E+01  1.0087E-02  2.2732E-02  3.2330E-13
  6.2911E+02  1.5265E+01  1.5277E+01  1.4847E+01  1.4267E+01  1.2909E+01  1.0185E-02  2.2830E-02  3.4461E-13
  6.7363E+02  1.6539E+01  1.6552E+01  1.6124E+01  1.5546E+01  1.4196E+01  1.0278E-02  2.2922E-02  3.6948E-13
  7.2017E+02  1.7893E+01  1.7906E+01  1.7479E+01  1.6905E+01  1.5562E+01  1.0372E-02  2.3015E-02  3.9080E-13
  7.6772E+02  1.9297E+01  1.9310E+01  1.8885E+01  1.8314E+01  1.6979E+01  1.0465E-02  2.3106E-02  4.1211E-13
  8.1456E+02  2.0701E+01  2.0714E+01  2.0291E+01  1.9722E+01  1.8394E+01  1.0553E-02  2.3193E-02  4.3343E-13
  8.6036E+02  2.2093E+01  2.2106E+01  2.1684E+01  2.1117E+01  1.9796E+01  1.0637E-02  2.3275E-02  4.6185E-13
  9.0802E+02  2.3560E+01  2.3572E+01  2.3153E+01  2.2588E+01  2.1273E+01  1.0722E-02  2.3358E-02  4.8317E-13
  9.5651E+02  2.5071E+01  2.5084E+01  2.4666E+01  2.4103E+01  2.2795E+01  1.0807E-02  2.3440E-02  5.1159E-13
  1.0041E+03  2.6573E+01  2.6586E+01  2.6169E+01  2.5609E+01  2.4307E+01  1.0888E-02  2.3518E-02  5.4001E-13
  1.0505E+03  2.8053E+01  2.8066E+01  2.7651E+01  2.7092E+01  2.5796E+01  1.0965E-02  2.3592E-02  5.6133E-13
  1.0986E+03  2.9607E+01  2.9619E+01  2.9205E+01  2.8649E+01  2.7358E+01  1.1043E-02  2.3668E-02  5.9686E-13
  1.1475E+03  3.1199E+01  3.1212E+01  3.0799E+01  3.0245E+01  2.8960E+01  1.1121E-02  2.3743E-02  6.2528E-13
  1.1953E+03  3.2775E+01  3.2788E+01  3.2376E+01  3.1824E+01  3.0544E+01  1.1196E-02  2.3814E-02  6.5370E-13
  1.2419E+03  3.4323E+01  3.4335E+01  3.3925E+01  3.3375E+01  3.2100E+01  1.1267E-02  2.3883E-02  6.9633E-13
  1.2900E+03  3.5941E+01  3.5954E+01  3.5545E+01  3.4996E+01  3.3726E+01  1.1340E-02  2.3952E-02  7.2475E-13
  1.3388E+03  3.7595E+01  3.7607E+01  3.7200E+01  3.6653E+01  3.5388E+01  1.1412E-02  2.4021E-02  7.6739E-13
  1.3866E+03  3.9226E+01  3.9239E+01  3.8832E+01  3.8287E+01  3.7027E+01  1.1482E-02  2.4088E-02  8.1002E-13
  1.4329E+03  4.0825E+01  4.0837E+01  4.0432E+01  3.9888E+01  3.8633E+01  1.1548E-02  2.4151E-02  8.5265E-13
  1.4809E+03  4.2492E+01  4.2504E+01  4.2100E+01  4.1558E+01  4.0307E+01  1.1616E-02  2.4216E-02  8.8107E-13
  8.9401E+00  8.8940E-01  9.0206E-01  4.4040E-01  0.0000E+00  0.0000E+00  8.5996E-03  2.1263E-02  0.0000E+00
  1.3232E+01  9.2622E-01  9.3890E-01  4.8023E-01  1.9082E-17  1.9082E-17  8.7044E-03  2.1381E-02  0.0000E+00
  1.7215E+01  9.6601E-01  9.7870E-01  5.2237E-01  9.8012E-17  9.8012E-17  8.7883E-03  2.1475E-02  2.2204E-16
  2.4899E+01  1.0537E+00  1.0664E+00  6.1389E-01  4.1980E-16  4.1980E-16  8.9270E-03  2.1630E-02  8.8818E-16
  2.4899E+01  1.0537E+00  1.0664E+00  6.1389E-01  2.0863E-07  4.2067E-16  8.9270E-03  2.1630E-02  8.8818E-16
  3.0375E+01  1.1240E+00  1.1367E+00  6.8652E-01  7.7428E-02  7.6154E-16  9.0142E-03  2.1727E-02  1.5543E-15
  3.7693E+01  1.2247E+00  1.2374E+00  7.9000E-01  1.8484E-01  1.4311E-15  9.1186E-03  2.1841E-02  2.8866E-15
  4.4833E+01  1.3292E+00  1.3419E+00  8.9688E-01  2.9511E-01  2.3644E-15  9.2101E-03  2.1941E-02  4.6629E-15
  5.2441E+01  1.4463E+00  1.4590E+00  1.0162E+00  4.1769E-01  3.6481E-15  9.2991E-03  2.2038E-02  7.1054E-15
  6.1368E+01  1.5901E+00  1.6029E+00  1.1624E+00  5.6732E-01  5.4557E-15  9.3946E-03  2.2140E-02  1.1102E-14
  6.9870E+01  1.7327E+00  1.7455E+00  1.3071E+00  7.1493E-01  7.3257E-15  9.4784E-03  2.2230E-02  1.4655E-14
  7.8760E+01  1.8871E+00  1.8998E+00  1.4634E+00  8.7406E-01  9.2183E-15  9.5599E-03  2.2317E-02  1.8652E-14
  8.6296E+01  2.0217E+00  2.0345E+00  1.5996E+00  1.0124E+00  1.0807E-14  9.6248E-03  2.2385E-02  2.1760E-14
  1.0506E+02  2.3706E+00  2.3834E+00  1.9519E+00  1.3697E+00  1.4997E-14  9.7732E-03  2.2541E-02  3.0198E-14
  1.0506E+02  2.3706E+00  2.3834E+00  1.9519E+00  1.3697E+00  5.8872E-08  9.7732E-03  2.2541E-02  3.0198E-14
  1.2025E+02  2.6731E+00  2.6858E+00  2.2569E+00  1.6782E+00  3.2536E-01  9.8848E-03  2.2658E-02  3.8192E-14
  1.4045E+02  3.0898E+00  3.1025E+00  2.6765E+00  2.1022E+00  7.6149E-01  1.0020E-02  2.2797E-02  5.5955E-14
  1.6360E+02  3.5858E+00  3.5986E+00  3.1756E+00  2.6055E+00  1.2772E+00  1.0161E-02  2.2942E-02  8.0824E-14
  1.8653E+02  4.0947E+00  4.1074E+00  3.6871E+00  3.1209E+00  1.8034E+00  1.0289E-02  2.3072E-02  1.0481E-13
  2.1159E+02  4.6682E+00  4.6810E+00  4.2632E+00  3.7008E+00  2.3941E+00  1.0418E-02  2.3202E-02  1.3145E-13
  2.3387E+02  5.1924E+00  5.2052E+00  4.7896E+00  4.2302E+00  2.9322E+00  1.0526E-02  2.3310E-02  1.5277E-13
  2.6273E+02  5.8893E+00  5.9021E+00  5.4889E+00  4.9332E+00  3.6456E+00  1.0656E-02  2.3440E-02  1.7764E-13
  2.8997E+02  6.5644E+00  6.5772E+00  6.1662E+00  5.6136E+00  4.3350E+00  1.0772E-02  2.3555E-02  1.9718E-13
  3.1637E+02  7.2336E+00  7.2464E+00  6.8374E+00  6.2876E+00  5.0171E+00  1.0878E-02  2.3660E-02  2.1494E-13
  3.5184E+02  8.1540E+00  8.1668E+00  7.7602E+00  7.2140E+00  5.9536E+00  1.1014E-02  2.3793E-02  2.3626E-13
  3.8725E+02  9.0954E+00  9.1082E+00  8.7039E+00  8.1610E+00  6.9099E+00  1.1142E-02  2.3919E-02  2.5580E-13
  4.2223E+02  1.0046E+01  1.0059E+01  9.6566E+00  9.1167E+00  7.8742E+00  1.1262E-02  2.4036E-02  2.7001E-13
  4.5897E+02  1.1065E+01  1.1078E+01  1.0678E+01  1.0141E+01  8.9070E+00  1.1383E-02  2.4153E-02  2.8777E-13
  4.9664E+02  1.2131E+01  1.2144E+01  1.1746E+01  1.1212E+01  9.9858E+00  1.1502E-02  2.4268E-02  3.0198E-13
  5.3388E+02  1.3205E+01  1.3217E+01  1.2821E+01  1.2290E+01  1.1071E+01  1.1615E-02  2.4376E-02  3.1619E-13
  5.7037E+02  1.4274E+01  1.4287E+01  1.3892E+01  1.3363E+01  1.2152E+01  1.1722E-02  2.4479E-02  3.3040E-13
  6.0841E+02  1.5407E+01  1.5420E+01  1.5027E+01  1.4501E+01  1.3297E+01  1.1829E-02  2.4582E-02  3.4461E-13
  6.4718E+02  1.6580E+01  1.6593E+01  1.6202E+01  1.5678E+01  1.4480E+01  1.1936E-02  2.4684E-02  3.5527E-13
  6.8529E+02  1.7750E+01  1.7763E+01  1.7373E+01  1.6851E+01  1.5660E+01  1.2037E-02  2.4781E-02  3.6948E-13
  7.2247E+02  1.8907E+01  1.8920E+01  1.8532E+01  1.8012E+01  1.6827E+01  1.2134E-02  2.4873E-02  3.8369E-13
  7.6106E+02  2.0124E+01  2.0137E+01  1.9750E+01  1.9233E+01  1.8054E+01  1.2231E-02  2.4966E-02  3.9790E-13
  8.0026E+02  2.1376E+01  2.1389E+01  2.1003E+01  2.0488E+01  1.9315E+01  1.2329E-02  2.5057E-02  4.1211E-13
  8.3865E+02  2.2617E+01  2.2630E+01  2.2246E+01  2.1732E+01  2.0565E+01  1.2421E-02  2.5145E-02  4.2633E-13
  8.7599E+02  2.3838E+01  2.3851E+01  2.3468E+01  2.2957E+01  2.1794E+01  1.2510E-02  2.5229E-02  4.4764E-13
  9.1468E+02  2.5117E+01  2.5130E+01  2.4748E+01  2.4239E+01  2.3082E+01  1.2600E-02  2.5314E-02  4.6185E-13
  9.5386E+02  2.6427E+01  2.6440E+01  2.6059E+01  2.5551E+01  2.4399E+01  1.2689E-02  2.5398E-02  4.8317E-13
