# CRT Name   BPName   Trans.Name   BP Length (m)
# DDL 0
CR02-3-30   someName   102-T5    4.5
CR02-4-31   someName   102-T6    4.5
CR02-4-32   someName   102-T7    4.5
CR02-4-33   someName   102-T8    4.5
CR02-4-34   someName   102-T9    4.5
CR02-4-35   someName   102-T10   4.5
CR02-4-36   someName   102-T11   4.5
CR02-4-37   someName   102-T0    4.5
CR02-4-38   someName   102-T1    4.5
CR02-4-39   someName   102-T2    4.5
CR02-4-40   someName   102-T3    4.5
CR02-5-41   someName   102-T4    4.5
CR02-5-42   someName   102-T5    4.5
CR02-5-43   someName   102-T6    4.5
CR02-5-44   someName   102-T7    4.5
CR02-5-45   someName   102-T8    4.5
CR02-5-46   someName   102-T9    4.5
CR02-5-47   someName   102-T10   4.5
CR02-5-48   someName   102-T11   4.5
# DDL 2
CR03-1-1    someName   200-T0    4.5
CR03-1-2    someName   200-T1    4.5
CR03-1-3    someName   200-T2    4.5
CR03-1-4    someName   200-T3    4.5
CR03-1-5    someName   200-T4    4.5
CR03-1-6    someName   200-T5    4.5
CR03-1-7    someName   200-T6    4.5
CR03-1-8    someName   200-T7    4.5
CR03-1-9    someName   200-T8    4.5
CR03-1-10   someName   200-T9    4.5
CR03-2-11   someName   200-T10   4.5
CR03-2-12   someName   200-T11   4.5
CR03-2-13   someName   200-T0    4.5
CR03-2-14   someName   200-T1    4.5
CR03-2-15   someName   200-T2    4.5
CR03-2-16   someName   200-T3    4.5
CR03-2-17   someName   200-T4    4.5
CR03-2-18   someName   200-T5    4.5
CR03-2-19   someName   200-T6    4.5
CR03-2-20   someName   200-T7    4.5
CR03-3-21   someName   200-T8    4.5
CR03-3-22   someName   200-T9    4.5
CR03-3-23   someName   200-T10   4.5
CR03-3-24   someName   200-T11   4.5
CR03-3-25   someName   203-T0    3
CR03-3-26   someName   203-T1    3
CR03-3-27   someName   203-T2    3
CR03-3-28   someName   203-T3    3
CR03-3-29   someName   203-T4    3
CR03-3-30   someName   203-T5    3
CR03-4-31   someName   203-T6    3
CR03-4-32   someName   203-T7    3
CR03-4-33   someName   203-T8    3
CR03-4-34   someName   203-T9    3
CR03-4-35   someName   203-T10   3
CR03-4-36   someName   203-T11   3
CR03-4-37   someName   203-T0    3
CR03-4-38   someName   203-T1    3
CR03-4-39   someName   203-T2    3
CR03-4-40   someName   203-T3    3
CR03-5-41   someName   203-T4    3
CR03-5-42   someName   203-T5    3
CR03-5-43   someName   203-T6    3
CR03-5-44   someName   203-T7    3
CR03-5-45   someName   203-T8    3
CR03-5-46   someName   203-T9    3
CR03-5-47   someName   203-T10   3
CR03-5-48   someName   203-T11   3
# DDL 3
CR04-1-1    someName   201-T0    4.5
CR04-1-2    someName   201-T1    4.5
CR04-1-3    someName   201-T2    4.5
CR04-1-4    someName   201-T3    4.5
CR04-1-5    someName   201-T4    4.5
CR04-1-6    someName   201-T5    4.5
CR04-1-7    someName   201-T6    4.5
CR04-1-8    someName   201-T7    4.5
CR04-1-9    someName   201-T8    4.5
CR04-1-10   someName   201-T9    4.5
CR04-2-11   someName   201-T10   4.5
CR04-2-12   someName   201-T11   4.5
CR04-2-13   someName   201-T0    4.5
CR04-2-14   someName   201-T1    4.5
CR04-2-15   someName   201-T2    4.5
CR04-2-16   someName   201-T3    4.5
CR04-2-17   someName   201-T4    4.5
CR04-2-18   someName   201-T5    4.5
CR04-2-19   someName   201-T6    4.5
CR04-2-20   someName   201-T7    4.5
CR04-3-21   someName   201-T8    4.5
CR04-3-22   someName   201-T9    4.5
CR04-3-23   someName   201-T10   4.5
CR04-3-24   someName   201-T11   4.5
CR04-3-25   someName   202-T0    3
CR04-3-26   someName   202-T1    3
CR04-3-27   someName   202-T2    3
CR04-3-28   someName   202-T3    3
CR04-3-29   someName   202-T4    3
CR04-3-30   someName   202-T5    3
CR04-4-31   someName   202-T6    3
CR04-4-32   someName   202-T7    3
CR04-4-33   someName   202-T8    3
CR04-4-34   someName   202-T9    3
CR04-4-35   someName   202-T10   3
CR04-4-36   someName   202-T11   3
CR04-4-37   someName   202-T0    3
CR04-4-38   someName   202-T1    3
CR04-4-39   someName   202-T2    3
CR04-4-40   someName   202-T3    3
CR04-5-41   someName   202-T4    3
CR04-5-42   someName   202-T5    3
CR04-5-43   someName   202-T6    3
CR04-5-44   someName   202-T7    3
CR04-5-45   someName   202-T8    3
CR04-5-46   someName   202-T9    3
CR04-5-47   someName   202-T10   3
CR04-5-48   someName   202-T11   3
# DDL 4
CR05-1-1    someName   300-T0    3
CR05-1-2    someName   300-T1    3
CR05-1-3    someName   300-T2    3
CR05-1-4    someName   300-T3    3
CR05-1-5    someName   300-T4    3
CR05-1-6    someName   300-T5    3
CR05-1-7    someName   300-T6    3
CR05-1-8    someName   300-T7    3
CR05-1-9    someName   300-T8    3
CR05-1-10   someName   300-T9    3
CR05-2-11   someName   300-T10   3
CR05-2-12   someName   300-T11   3
CR05-2-13   someName   300-T0    3
CR05-2-14   someName   300-T1    3
CR05-2-15   someName   300-T2    3
CR05-2-16   someName   300-T3    3
CR05-2-17   someName   300-T4    3
CR05-2-18   someName   300-T5    3
CR05-2-19   someName   300-T6    3
CR05-2-20   someName   300-T7    3
CR05-3-21   someName   300-T8    3
CR05-3-22   someName   300-T9    3
CR05-3-23   someName   300-T10   3
CR05-3-24   someName   300-T11   3
CR05-3-25   someName   303-T0    4.5
CR05-3-26   someName   303-T1    4.5
CR05-3-27   someName   303-T2    4.5
CR05-3-28   someName   303-T3    4.5
CR05-3-29   someName   303-T4    4.5
CR05-3-30   someName   303-T5    4.5
CR05-4-31   someName   303-T6    4.5
CR05-4-32   someName   303-T7    4.5
CR05-4-33   someName   303-T8    4.5
CR05-4-34   someName   303-T9    4.5
CR05-4-35   someName   303-T10   4.5
CR05-4-36   someName   303-T11   4.5
CR05-4-37   someName   303-T0    4.5
CR05-4-38   someName   303-T1    4.5
CR05-4-39   someName   303-T2    4.5
CR05-4-40   someName   303-T3    4.5
CR05-5-41   someName   303-T4    4.5
CR05-5-42   someName   303-T5    4.5
CR05-5-43   someName   303-T6    4.5
CR05-5-44   someName   303-T7    4.5
CR05-5-45   someName   303-T8    4.5
CR05-5-46   someName   303-T9    4.5
CR05-5-47   someName   303-T10   4.5
CR05-5-48   someName   303-T11   4.5
# DDL 5
CR06-1-1    someName   301-T0    3
CR06-1-2    someName   301-T1    3
CR06-1-3    someName   301-T2    3
CR06-1-4    someName   301-T3    3
CR06-1-5    someName   301-T4    3
CR06-1-6    someName   301-T5    3
CR06-1-7    someName   301-T6    3
CR06-1-8    someName   301-T7    3
CR06-1-9    someName   301-T8    3
CR06-1-10   someName   301-T9    3
CR06-2-11   someName   301-T10   3
CR06-2-12   someName   301-T11   3
CR06-2-13   someName   301-T0    3
CR06-2-14   someName   301-T1    3
CR06-2-15   someName   301-T2    3
CR06-2-16   someName   301-T3    3
CR06-2-17   someName   301-T4    3
CR06-2-18   someName   301-T5    3
CR06-2-19   someName   301-T6    3
CR06-2-20   someName   301-T7    3
CR06-3-21   someName   301-T8    3
CR06-3-22   someName   301-T9    3
CR06-3-23   someName   301-T10   3
CR06-3-24   someName   301-T11   3
CR06-3-25   someName   302-T0    4.5
CR06-3-26   someName   302-T1    4.5
CR06-3-27   someName   302-T2    4.5
CR06-3-28   someName   302-T3    4.5
CR06-3-29   someName   302-T4    4.5
CR06-3-30   someName   302-T5    4.5
CR06-4-31   someName   302-T6    4.5
CR06-4-32   someName   302-T7    4.5
CR06-4-33   someName   302-T8    4.5
CR06-4-34   someName   302-T9    4.5
CR06-4-35   someName   302-T10   4.5
CR06-4-36   someName   302-T11   4.5
CR06-4-37   someName   302-T0    4.5
CR06-4-38   someName   302-T1    4.5
CR06-4-39   someName   302-T2    4.5
CR06-4-40   someName   302-T3    4.5
CR06-5-41   someName   302-T4    4.5
CR06-5-42   someName   302-T5    4.5
CR06-5-43   someName   302-T6    4.5
CR06-5-44   someName   302-T7    4.5
CR06-5-45   someName   302-T8    4.5
CR06-5-46   someName   302-T9    4.5
CR06-5-47   someName   302-T10   4.5
CR06-5-48   someName   302-T11   4.5
# DDL 6
CR07-1-1    someName   400-T0    4.5
CR07-1-2    someName   400-T1    4.5
CR07-1-3    someName   400-T2    4.5
CR07-1-4    someName   400-T3    4.5
CR07-1-5    someName   400-T4    4.5
CR07-1-6    someName   400-T5    4.5
CR07-1-7    someName   400-T6    4.5
CR07-1-8    someName   400-T7    4.5
CR07-1-9    someName   400-T8    4.5
CR07-1-10   someName   400-T9    4.5
CR07-2-11   someName   400-T10   4.5
CR07-2-12   someName   400-T11   4.5
CR07-2-13   someName   400-T0    4.5
CR07-2-14   someName   400-T1    4.5
CR07-2-15   someName   400-T2    4.5
CR07-2-16   someName   400-T3    4.5
CR07-2-17   someName   400-T4    4.5
CR07-2-18   someName   400-T5    4.5
CR07-2-19   someName   400-T6    4.5
CR07-2-20   someName   400-T7    4.5
CR07-3-21   someName   400-T8    4.5
CR07-3-22   someName   400-T9    4.5
CR07-3-23   someName   400-T10   4.5
CR07-3-24   someName   400-T11   4.5
CR07-3-25   someName   403-T0    3
CR07-3-26   someName   403-T1    3
CR07-3-27   someName   403-T2    3
CR07-3-28   someName   403-T3    3
CR07-3-29   someName   403-T4    3
CR07-3-30   someName   403-T5    3
CR07-4-31   someName   403-T6    3
CR07-4-32   someName   403-T7    3
CR07-4-33   someName   403-T8    3
CR07-4-34   someName   403-T9    3
CR07-4-35   someName   403-T10   3
CR07-4-36   someName   403-T11   3
CR07-4-37   someName   403-T0    3
CR07-4-38   someName   403-T1    3
CR07-4-39   someName   403-T2    3
CR07-4-40   someName   403-T3    3
CR07-5-41   someName   403-T4    3
CR07-5-42   someName   403-T5    3
CR07-5-43   someName   403-T6    3
CR07-5-44   someName   403-T7    3
CR07-5-45   someName   403-T8    3
CR07-5-46   someName   403-T9    3
CR07-5-47   someName   403-T10   3
CR07-5-48   someName   403-T11   3
# DDL 7
CR08-1-1    someName   401-T0    4.5
CR08-1-2    someName   401-T1    4.5
CR08-1-3    someName   401-T2    4.5
CR08-1-4    someName   401-T3    4.5
CR08-1-5    someName   401-T4    4.5
CR08-1-6    someName   401-T5    4.5
CR08-1-7    someName   401-T6    4.5
CR08-1-8    someName   401-T7    4.5
CR08-1-9    someName   401-T8    4.5
CR08-1-10   someName   401-T9    4.5
CR08-2-11   someName   401-T10   4.5
CR08-2-12   someName   401-T11   4.5
CR08-2-13   someName   401-T0    4.5
CR08-2-14   someName   401-T1    4.5
CR08-2-15   someName   401-T2    4.5
CR08-2-16   someName   401-T3    4.5
CR08-2-17   someName   401-T4    4.5
CR08-2-18   someName   401-T5    4.5
CR08-2-19   someName   401-T6    4.5
CR08-2-20   someName   401-T7    4.5
CR08-3-21   someName   401-T8    4.5
CR08-3-22   someName   401-T9    4.5
CR08-3-23   someName   401-T10   4.5
CR08-3-24   someName   401-T11   4.5
CR08-3-25   someName   402-T0    3
CR08-3-26   someName   402-T1    3
CR08-3-27   someName   402-T2    3
CR08-3-28   someName   402-T3    3
CR08-3-29   someName   402-T4    3
CR08-3-30   someName   402-T5    3
CR08-4-31   someName   402-T6    3
CR08-4-32   someName   402-T7    3
CR08-4-33   someName   402-T8    3
CR08-4-34   someName   402-T9    3
CR08-4-35   someName   402-T10   3
CR08-4-36   someName   402-T11   3
CR08-4-37   someName   402-T0    3
CR08-4-38   someName   402-T1    3
CR08-4-39   someName   402-T2    3
CR08-4-40   someName   402-T3    3
CR08-5-41   someName   402-T4    3
CR08-5-42   someName   402-T5    3
CR08-5-43   someName   402-T6    3
CR08-5-44   someName   402-T7    3
CR08-5-45   someName   402-T8    3
CR08-5-46   someName   402-T9    3
CR08-5-47   someName   402-T10   3
CR08-5-48   someName   402-T11   3
# DDL 8
CR09-1-1    CH5-L1-OT   505-T0   4.0
CR09-1-2    CH5-L1-OB   505-T1   4.0
CR09-1-3    CH5-L2-OB   506-T0   4.0
CR09-1-4    CH5-L2-OT   506-T1   4.0
CR09-1-5    CH5-L3-IT   507-T0   4.0
CR09-1-6    CH5-L3-OT   507-T1   4.0
CR09-1-7    CH5-L3-OB   507-T2   4.0
CR09-1-8    CH5-L3-IB   507-T3   6.5
CR09-1-9    CH5-L4-IB   508-T0   7.0
CR09-1-10   CH5-L4-OB   508-T1   4.5
CR09-2-11   CH5-L4-OT   508-T2   4.0
CR09-2-12   CH5-L4-IT1  508-T3   6.5
CR09-2-13   CH5-L4-IT2  508-T4   6.5
CR09-2-14   CH5-L5-IT   509-T0   6.5
CR09-2-15   CH5-L5-OT   509-T1   4.5
CR09-2-16   CH5-L5-OB   509-T2   5.0
CR09-2-17   CH5-L5-IB   509-T3   7.5
CR09-2-18   CH6-L1-OT   605-T0   4.5
CR09-2-19   CH6-L1-OB   605-T1   4.5
CR09-2-20   CH6-L2-OB   606-T0   4.5
CR09-3-21   CH6-L2-OT   606-T1   4.0
CR09-3-22   CH6-L3-IT   607-T0   6.5
CR09-3-23   CH6-L3-OT   607-T1   4.0
CR09-3-24   CH6-L3-OB   607-T2   4.5
CR09-3-25   CH6-L3-IB   607-T3   6.5
CR09-3-26   CH6-L4-IB   608-T0   7.0
CR09-3-27   CH6-L4-OB   608-T1   5.0
CR09-3-28   CH6-L4-OT   608-T2   4.0
CR09-3-29   CH6-L4-IT1  608-T3   6.5
CR09-3-30   CH6-L4-IT2  608-T4   6.5
# DDL 9
CR10-1-1    CH5-R1-OT   504-T0   4.0
CR10-1-2    CH5-R1-OB   504-T1   3.0
CR10-1-3    CH5-R2-OB   503-T0   4.0
CR10-1-4    CH5-R2-OT   503-T1   4.0
CR10-1-5    CH5-R3-IT   502-T0   5.5
CR10-1-6    CH5-R3-OT   502-T1   4.0
CR10-1-7    CH5-R3-OB   502-T2   4.0
CR10-1-8    CH5-R3-IB   502-T3   6.5
CR10-1-9    CH5-R4-IB   501-T0   6.5
CR10-1-10   CH5-R4-OB   501-T1   4.5
CR10-2-11   CH5-R4-OT   501-T2   4.0
CR10-2-12   CH5-R4-IT1  501-T3   6.5
CR10-2-13   CH5-R4-IT2  501-T4   6.5
CR10-2-14   CH6-R1-OT   604-T0   4.5
CR10-2-15   CH6-R1-OB   604-T1   4.5
CR10-2-16   CH6-R2-OB   603-T0   4.5
CR10-2-17   CH6-R2-OT   603-T1   4.0
CR10-2-18   CH6-R3-IT   602-T0   6.5
CR10-2-19   CH6-R3-OT   602-T1   4.0
CR10-2-20   CH6-R3-OB   602-T2   4.5
CR10-3-21   CH6-R3-IB   602-T3   6.5
CR10-3-22   CH6-R4-IB   601-T0   7.0
CR10-3-23   CH6-R4-OB   601-T1   5.0
CR10-3-24   CH6-R4-OT   601-T2   4.0
CR10-3-25   CH6-R4-IT1  601-T3   6.5
CR10-3-26   CH6-R4-IT2  601-T4   6.5
CR10-3-27   CH6-R5-IT   600-T0   7.0
CR10-3-28   CH6-R5-OT   600-T1   4.5
CR10-3-29   CH6-R5-OB   600-T2   5.5
CR10-3-30   CH6-R5-IB   600-T3   7.0
# DDL 10
CR11-1-1    CH5-L6-IT   510-T0    7.5
CR11-1-2    CH5-L6-OT   510-T1    5.5
CR11-1-3    CH5-L6-OB   510-T2    4.5
CR11-1-4    CH5-L6-IB1  510-T3    6.5
CR11-1-5    CH5-L6-IB2  510-T4    6.5
CR11-1-6    CH5-L7-IT   511-T0    7.0
CR11-1-7    CH5-L7-OT   511-T1    5.0
CR11-1-8    CH5-L7-OB   511-T2    4.5
CR11-1-9    CH5-L7-IB   511-T3    6.5
CR11-1-10   CH5-L8-OB   512-T0    4.5
CR11-2-11   CH5-L8-OT   512-T1    5.0
CR11-2-12   CH5-L9-OT   513-T0    5.0
CR11-2-13   CH5-L9-OB   513-T1    5.0
CR11-2-14   CH6-L5-IT   609-T0    8.0
CR11-2-15   CH6-L5-OT   609-T1    4.5
CR11-2-16   CH6-L5-OB   609-T2    5.5
CR11-2-17   CH6-L5-IB   609-T3    7.5
CR11-2-18   CH6-L6-IT   610-T0    8.5
CR11-2-19   CH6-L6-OT   610-T1    5.5
CR11-2-20   CH6-L6-OB   610-T2    5.0
CR11-3-21   CH6-L6-IB1  610-T3    7.0
CR11-3-22   CH6-L6-IB2  610-T4    7.0
CR11-3-23   CH6-L7-IT   611-T0    7.0
CR11-3-24   CH6-L7-OT   611-T1    5.0
CR11-3-25   CH6-L7-OB   611-T2    4.5
CR11-3-26   CH6-L7-IB   611-T3    6.5
CR11-3-27   CH6-L8-OB   612-T0    4.5
CR11-3-28   CH6-L8-OT   612-T1    5.0
CR11-3-29   CH6-L9-OT   613-T0    5.5
CR11-3-30   CH6-L9-OB   613-T1    5.5
# DDL 11
CR12-1-1    CH5-R5-IT   500-T0    7.5
CR12-1-2    CH5-R5-OT   500-T1    4.5
CR12-1-3    CH5-R5-OB   500-T2    5.0
CR12-1-4    CH5-R5-IB   500-T3    7.0
CR12-1-5    CH5-R6-IT   517-T0    7.0
CR12-1-6    CH5-R6-OT   517-T1    5.0
CR12-1-7    CH5-R6-OB   517-T2    4.5
CR12-1-8    CH5-R6-IB1  517-T3    6.5
CR12-1-9    CH5-R6-IB2  517-T4    6.5
CR12-1-10   CH5-R7-IT   516-T0    7.0
CR12-2-11   CH5-R7-OT   516-T1    5.0
CR12-2-12   CH5-R7-OB   516-T2    4.0
CR12-2-13   CH5-R7-IB   516-T3    6.5
CR12-2-14   CH5-R8-OB   515-T0    4.0
CR12-2-15   CH5-R8-OT   515-T1    4.5
CR12-2-16   CH5-R9-OT   514-T0    5.0
CR12-2-17   CH5-R9-OB   514-T1    5.0
CR12-2-18   CH6-R6-IT   617-T0    7.5
CR12-2-19   CH6-R6-OT   617-T1    5.5
CR12-2-20   CH6-R6-OB   617-T2    5.0
CR12-3-21   CH6-R6-IB1  617-T3    7.0
CR12-3-22   CH6-R6-IB2  617-T4    7.0
CR12-3-23   CH6-R7-IT   616-T0    7.0
CR12-3-24   CH6-R7-OT   616-T1    5.0
CR12-3-25   CH6-R7-OB   616-T2    4.5
CR12-3-26   CH6-R7-IB   616-T3    6.5
CR12-3-27   CH6-R8-OB   615-T0    4.5
CR12-3-28   CH6-R8-OT   615-T1    5.0
CR12-3-29   CH6-R9-OT   614-T0    5.5
CR12-3-30   CH6-R9-OB   614-T1    5.5
# DDL 12
CR13-1-1    CH7-L1-OT   707-T0    5.5
CR13-1-2    CH7-L1-OB   707-T1    6.5
CR13-1-3    CH7-L2-OB   708-T0    5.5
CR13-1-4    CH7-L2-OT   708-T1    4.5
CR13-1-5    CH7-L3-IT   709-T0    7.0
CR13-1-6    CH7-L3-OT   709-T1    4.5
CR13-1-7    CH7-L3-OB   709-T2    5.0
CR13-1-8    CH7-L3-IB   709-T3    7.5
CR13-1-9    CH7-L4-IB   710-T0    7.5
CR13-1-10   CH7-L4-OB   710-T1    3.0
CR13-2-11   CH7-L4-OT   710-T2    4.0
CR13-2-12   CH7-L4-IT   710-T3    7.0
CR13-2-13   CH7-L5-IT   711-T0    7.5
CR13-2-14   CH7-L5-OT   711-T1    4.0
CR13-2-15   CH7-L5-OB   711-T2    3.0
CR13-2-16   CH7-L5-IB   711-T3    8.5
CR13-2-17   CH7-L6-IB   712-T0    8.5
CR13-2-18   CH7-L6-OB   712-T1    2.5
CR13-2-19   CH7-L6-OT   712-T2    2.5
CR13-2-20   CH7-L6-IT1  712-T3    7.5
CR13-3-21   CH7-L6-IT2  712-T4    7.5
CR13-3-22   CH7-L7-IT   713-T0    8.5
CR13-3-23   CH7-L7-OT   713-T1    2.5
CR13-3-24   CH7-L7-OB   713-T2    2.5
CR13-3-25   CH7-L7-IB   713-T3    8.5
CR13-3-26   CH7-L8-IT   714-T0    8.5
CR13-3-27   CH7-L8-OT   714-T1    2.5
CR13-3-28   CH7-L8-OB   714-T2    2.5
CR13-3-29   CH7-L8-IB1  714-T3    7.0
CR13-3-30   CH7-L8-IB2  714-T4    7.0
CR13-4-31   CH7-L9-IT   715-T0    7.5
CR13-4-32   CH7-L9-OT   715-T1    2.5
CR13-4-33   CH7-L9-OB   715-T2    3.0
CR13-4-34   CH7-L9-IB   715-T3    7.0
CR13-4-35   CH7-L10-IB  716-T0    6.5
CR13-4-36   CH7-L10-OB  716-T1    3.0
CR13-4-37   CH7-L10-OT  716-T2    2.5
CR13-4-38   CH7-L10-IT  716-T3    7.0
CR13-4-39   CH7-L11-IT  717-T0    7.0
CR13-4-40   CH7-L11-OT  717-T1    4.5
CR13-5-41   CH7-L11-OB  717-T2    4.0
CR13-5-42   CH7-L11-IB  717-T3    6.5
CR13-5-43   CH7-L12-OB  718-T0    4.5
CR13-5-44   CH7-L12-OT  718-T1    5.0
CR13-5-45   CH7-L13-OT  719-T0    5.5
CR13-5-46   CH7-L13-OB  719-T1    5.0
# DDL 13
CR14-1-1    CH7-R1-OT   706-T0    5.5
CR14-1-2    CH7-R1-OB   706-T1    6.5
CR14-1-3    CH7-R2-OB   705-T0    5.5
CR14-1-4    CH7-R2-OT   705-T1    4.5
CR14-1-5    CH7-R3-IT   704-T0    7.0
CR14-1-6    CH7-R3-OT   704-T1    4.5
CR14-1-7    CH7-R3-OB   704-T2    5.0
CR14-1-8    CH7-R3-IB   704-T3    7.5
CR14-1-9    CH7-R4-IB   703-T0    7.5
CR14-1-10   CH7-R4-OB   703-T1    3.0
CR14-2-11   CH7-R4-OT   703-T2    4.0
CR14-2-12   CH7-R4-IT   703-T3    7.0
CR14-2-13   CH7-R5-IT   702-T0    7.5
CR14-2-14   CH7-R5-OT   702-T1    4.0
CR14-2-15   CH7-R5-OB   702-T2    3.0
CR14-2-16   CH7-R5-IB   702-T3    8.5
CR14-2-17   CH7-R6-IB   701-T0    8.5
CR14-2-18   CH7-R6-OB   701-T1    2.5
CR14-2-19   CH7-R6-OT   701-T2    2.5
CR14-2-20   CH7-R6-IT1  701-T3    7.5
CR14-3-21   CH7-R6-IT2  701-T4    7.5
CR14-3-22   CH7-R7-IT   700-T0    8.5
CR14-3-23   CH7-R7-OT   700-T1    2.5
CR14-3-24   CH7-R7-OB   700-T2    2.5
CR14-3-25   CH7-R7-IB   700-T3    8.5
CR14-3-26   CH7-R8-IT   725-T0    8.5
CR14-3-27   CH7-R8-OT   725-T1    2.5
CR14-3-28   CH7-R8-OB   725-T2    2.5
CR14-3-29   CH7-R8-IB1  725-T3    7.0
CR14-3-30   CH7-R8-IB2  725-T4    7.0
CR14-4-31   CH7-R9-IT   724-T0    7.5
CR14-4-32   CH7-R9-OT   724-T1    2.5
CR14-4-33   CH7-R9-OB   724-T2    3.0
CR14-4-34   CH7-R9-IB   724-T3    7.0
CR14-4-35   CH7-R10-IB  723-T0    6.5
CR14-4-36   CH7-R10-OB  723-T1    3.0
CR14-4-37   CH7-R10-OT  723-T2    2.5
CR14-4-38   CH7-R10-IT  723-T3    7.0
CR14-4-39   CH7-R11-IT  722-T0    7.0
CR14-4-40   CH7-R11-OT  722-T1    4.5
CR14-5-41   CH7-R11-OB  722-T2    4.0
CR14-5-42   CH7-R11-IB  722-T3    6.5
CR14-5-43   CH7-R12-OB  721-T0    4.5
CR14-5-44   CH7-R12-OT  721-T1    5.0
CR14-5-45   CH7-R13-OT  720-T0    5.5
CR14-5-46   CH7-R13-OB  720-T1    5.0
# DDL 14
CR15-1-1    CH8-L1-OT   807-T0    5.5
CR15-1-2    CH8-L1-OB   807-T1    6.5
CR15-1-3    CH8-L2-OB   808-T0    5.5
CR15-1-4    CH8-L2-OT   808-T1    5.0
CR15-1-5    CH8-L3-IT   809-T0    7.0
CR15-1-6    CH8-L3-OT   809-T1    4.5
CR15-1-7    CH8-L3-OB   809-T2    5.0
CR15-1-8    CH8-L3-IB   809-T3    7.5
CR15-1-9    CH8-L4-IB   810-T0    7.5
CR15-1-10   CH8-L4-OB   810-T1    3.0
CR15-2-11   CH8-L4-OT   810-T2    4.0
CR15-2-12   CH8-L4-IT   810-T3    7.0
CR15-2-13   CH8-L5-IT   811-T0    7.5
CR15-2-14   CH8-L5-OT   811-T1    4.0
CR15-2-15   CH8-L5-OB   811-T2    3.0
CR15-2-16   CH8-L5-IB   811-T3    8.5
CR15-2-17   CH8-L6-IB   812-T0    8.5
CR15-2-18   CH8-L6-OB   812-T1    2.5
CR15-2-19   CH8-L6-OT   812-T2    2.5
CR15-2-20   CH8-L6-IT1  812-T3    8.5
CR15-3-21   CH8-L6-IT2  812-T4    8.5
CR15-3-22   CH8-L7-IT   813-T0    8.5
CR15-3-23   CH8-L7-OT   813-T1    2.5
CR15-3-24   CH8-L7-OB   813-T2    2.5
CR15-3-25   CH8-L7-IB   813-T3    8.5
CR15-3-26   CH8-L8-IT   814-T0    8.5
CR15-3-27   CH8-L8-OT   814-T1    2.5
CR15-3-28   CH8-L8-OB   814-T2    2.5
CR15-3-29   CH8-L8-IB1  814-T3    7.5
