,phs_col:phs_col_dp.State_phos_module_2.Matrix_t_phos_module_2.Matrix_t_phos_module_2_0,phs_col:phs_col_dp.State_phos_module_2.Matrix_t_phos_module_2.Matrix_t_phos_module_2_10,phs_col:phs_col_dp.State_phos_module_2.Matrix_t_phos_module_2.Matrix_t_phos_module_2_18,
2012/03/11 23:36:19.835,,-24.94401199915,,
2012/03/11 23:52:44.969,-24.336761046964,,,
2012/03/12 00:25:56.675,,,-25.048938442387,
2012/03/12 00:36:21.859,,-24.943611335902,,
2012/03/12 00:52:48.087,-24.352864021064,,,
2012/03/12 01:26:08.767,,,-25.053166630741,
2012/03/12 01:36:29.850,,-24.947720243952,,
2012/03/12 01:52:58.149,-24.352907279985,,,
2012/03/12 02:26:16.745,,,-25.053209577579,
2012/03/12 02:36:31.976,,-24.947724429288,,
2012/03/12 02:53:05.313,-24.361112498962,,,
2012/03/12 03:26:34.956,,,-25.053166630741,
2012/03/12 03:36:50.078,,-24.946835412426,,
2012/03/12 03:53:05.478,-24.352828883511,,,
2012/03/12 04:26:50.215,,,-25.053123222109,
2012/03/12 04:37:11.351,,-24.94401199915,,
2012/03/12 04:53:05.642,-24.365289431736,,,
2012/03/12 05:26:50.379,,,-25.049371504594,
2012/03/12 05:37:32.516,,-24.94401199915,,
2012/03/12 05:53:11.822,-24.340481820755,,,
2012/03/12 06:27:03.450,,,-25.049010482341,
2012/03/12 06:37:36.618,,-24.943990314673,,
2012/03/12 06:53:15.924,-24.361104374784,,,
2012/03/12 07:27:08.536,,,-25.051066852896,
2012/03/12 07:37:36.782,,-24.944028256414,,
2012/03/12 07:53:19.042,-24.333018348206,,,
2012/03/12 08:27:19.747,,,-25.061478911105,
2012/03/12 08:37:37.821,,-24.952287768673,,
2012/03/12 08:53:25.878,-24.353645686412,,,
2012/03/12 09:27:37.521,,,-25.051280760056,
2012/03/12 09:37:38.642,,-24.94409781431,,
2012/03/12 09:53:36.980,-24.341302283609,,,
2012/03/12 10:27:37.680,,,-25.057640060241,
2012/03/12 10:37:46.661,,-24.94401199915,,
2012/03/12 10:53:42.029,-24.353684885782,,,
2012/03/12 11:27:38.577,,,-25.053127858882,
2012/03/12 11:37:55.886,,-24.94401199915,,
2012/03/12 11:54:05.161,-24.345400982751,,,
2012/03/12 12:27:38.851,,,-25.057648501659,
2012/03/12 12:38:06.987,,-24.944852133342,,
2012/03/12 12:54:13.309,-24.362227940796,,,
2012/03/12 13:27:38.906,,,-25.061868614153,
2012/03/12 13:38:07.152,,-24.958364317626,,
2012/03/12 13:54:21.458,-24.341647643291,,,
2012/03/12 14:27:58.102,,,-25.055670478861,
2012/03/12 14:38:07.316,,-24.952316681232,,
2012/03/12 14:54:22.607,-24.349970892322,,,
2012/03/12 15:27:58.266,,,-25.042039268549,
2012/03/12 15:38:17.543,,-24.952229943555,,
2012/03/12 15:54:29.771,-24.345400982751,,,
2012/03/12 16:28:11.446,,,-25.049436156886,
2012/03/12 16:38:19.676,,-24.952316681232,,
2012/03/12 16:54:32.998,-24.354030446659,,,
2012/03/12 17:28:37.642,,,-25.049443391785,
2012/03/12 17:38:27.825,,-24.944891735503,,
2012/03/12 17:54:35.788,-24.341647643291,,,
2012/03/12 18:28:48.431,,,-25.053123683903,
2012/03/12 18:38:39.599,,-24.947763612142,,
2012/03/12 18:54:42.858,-24.345381590824,,,
2012/03/12 19:29:01.611,,,-25.049414452188,
2012/03/12 19:38:56.719,,-24.936508390824,,
2012/03/12 19:54:43.847,-24.329264331306,,,
2012/03/12 20:29:15.614,,,-25.049414452188,
2012/03/12 20:39:07.766,,-24.936465020346,,
2012/03/12 20:54:51.010,-24.341647643291,,,
2012/03/12 21:29:17.747,,,-25.049414452188,
2012/03/12 21:39:10.884,,-24.94401199915,,
2012/03/12 21:54:53.144,-24.345400982751,,,
2012/03/12 22:29:22.943,,,-25.063765541134,
2012/03/12 22:39:11.158,,-24.952316681232,,
2012/03/12 22:54:54.402,-24.354030446659,,,
2012/03/12 23:29:24.092,,,-25.05013560987,
2012/03/12 23:39:17.229,,-24.944813364897,,
2012/03/12 23:54:59.613,-24.341647643291,,,
2012/03/13 00:29:25.256,,,-25.057726878805,
2012/03/13 00:39:26.377,,-24.944852550207,,
2012/03/13 00:55:03.715,-24.349974492497,,,
2012/03/13 01:29:25.421,,,-25.053175751172,
2012/03/13 01:39:26.542,,-24.94472662417,,
2012/03/13 01:55:12.848,-24.341647643291,,,
2012/03/13 02:29:33.569,,,-25.057726878805,
2012/03/13 02:39:27.691,,-24.952251538872,,
2012/03/13 02:55:14.763,-24.354030523431,,,
2012/03/13 03:29:48.171,,,-25.041909712351,
2012/03/13 03:39:39.449,,-24.9365517613,,
2012/03/13 03:55:20.724,-24.337505610997,,,
2012/03/13 04:29:54.351,,,-25.049501270979,
2012/03/13 04:39:46.501,,-24.932795166748,,
2012/03/13 04:55:29.716,-24.349931691637,,,
2012/03/13 05:29:54.368,,,-25.041988097827,
2012/03/13 05:39:58.552,,-24.94401199915,,
2012/03/13 05:55:40.811,-24.341626242805,,,
2012/03/13 06:29:54.532,,,-25.057640983842,
2012/03/13 06:40:18.732,,-24.944813364897,,
2012/03/13 06:55:46.991,-24.349931691637,,,
2012/03/13 07:30:02.681,,,-25.057654837868,
2012/03/13 07:41:13.911,,-24.952316681232,,
2012/03/13 07:55:57.109,-24.341647643291,,,
2012/03/13 08:30:05.799,,,-25.057640060241,
2012/03/13 08:41:14.951,,-24.952316681232,,
2012/03/13 08:56:04.414,-24.349953322179,,,
2012/03/13 09:30:24.541,,,-25.057711203381,
2012/03/13 09:41:21.396,,-24.94485673526,,
2012/03/13 09:56:18.391,-24.341647643291,,,
2012/03/13 10:30:34.081,,,-25.054417973294,
2012/03/13 10:41:29.217,,-24.953993857899,,
2012/03/13 10:56:25.930,-24.354073707688,,,
2012/03/13 11:30:34.667,,,-25.054465604344,
2012/03/13 11:41:37.803,,-24.94198969326,,
2012/03/13 11:56:32.704,-24.349953322179,,,
2012/03/13 12:30:47.300,,,-25.070109583011,
2012/03/13 12:41:49.671,,-24.94896584374,,
2012/03/13 12:56:42.275,-24.362318942127,,,
2012/03/13 13:30:52.496,,,-25.065721859988,
2012/03/13 13:41:54.976,,-24.94896584374,,
2012/03/13 13:56:47.341,-24.354073707688,,,
2012/03/13 14:30:53.717,,,-25.054450826216,
2012/03/13 14:42:09.104,,-24.957140674458,,
2012/03/13 14:56:51.645,-24.362257573083,,,
2012/03/13 15:31:12.054,,,-25.05437878284,
2012/03/13 15:42:17.487,,-24.956555751641,,
2012/03/13 15:56:53.028,-24.341647643291,,,
2012/03/13 16:31:13.312,,,-25.050265842299,
2012/03/13 16:42:17.761,,-24.945170696329,,
2012/03/13 16:57:02.380,-24.349974952721,,,
2012/03/13 17:31:14.070,,,-25.041953123275,
2012/03/13 17:42:25.409,,-24.94485673526,,
2012/03/13 17:57:03.029,-24.342503050526,,,
2012/03/13 18:31:14.344,,,-25.054342761152,
2012/03/13 18:42:27.761,,-24.947070587321,,
2012/03/13 18:57:03.303,-24.351326784611,,,
2012/03/13 19:31:14.649,,,-25.06184013647,
2012/03/13 19:42:37.035,,-24.946877902194,,
2012/03/13 19:57:03.608,-24.341570072934,,,
2012/03/13 20:31:23.891,,,-25.057687690239,
2012/03/13 20:42:43.325,,-24.94472662417,,
2012/03/13 20:57:03.772,-24.349931691637,,,
2012/03/13 21:31:34.228,,,-25.037774993527,
2012/03/13 21:42:56.614,,-24.944770455921,,
2012/03/13 21:57:05.249,-24.341647643291,,,
2012/03/13 22:31:35.595,,,-25.057726878805,
2012/03/13 22:42:56.997,,-24.932843137956,,
2012/03/13 22:57:06.414,-24.342503328318,,,
2012/03/13 23:31:35.727,,,-25.049336905819,
2012/03/13 23:42:57.129,,-24.941177824798,,
2012/03/13 23:57:11.670,-24.330019806305,,,
2012/03/14 00:31:52.954,,,-25.061883083895,
2012/03/14 00:42:57.403,,-24.94904421282,,
2012/03/14 00:57:15.991,-24.354030906883,,,
2012/03/14 01:32:02.306,,,-25.041909712351,
2012/03/14 01:42:58.661,,-24.944098737053,,
2012/03/14 01:57:28.296,-24.349845169466,,,
2012/03/14 02:32:02.580,,,-25.057770288087,
2012/03/14 02:43:10.966,,-24.944813364897,,
2012/03/14 02:57:31.523,-24.357826829175,,,
2012/03/14 03:32:04.822,,,-25.057726878805,
2012/03/14 03:43:25.349,,-24.944813364897,,
2012/03/14 03:57:37.812,-24.349931691637,,,
2012/03/14 04:32:05.096,,,-25.054417556374,
2012/03/14 04:43:36.560,,-24.956425645298,,
2012/03/14 04:57:46.071,-24.354073707688,,,
2012/03/14 05:32:05.370,,,-25.05030081391,
2012/03/14 05:43:39.897,,-24.945214067398,,
2012/03/14 05:57:51.376,-24.341647643291,,,
2012/03/14 06:32:06.737,,,-25.061847063474,
2012/03/14 06:43:56.249,,-24.948998331505,,
2012/03/14 06:57:55.806,-24.346545451745,,,
2012/03/14 07:32:07.121,,,-25.060483213059,
2012/03/14 07:44:01.554,,-24.944856658294,,
2012/03/14 07:58:10.077,-24.341604382093,,,
2012/03/14 08:32:34.264,,,-25.050265842299,
2012/03/14 08:44:05.728,,-24.941100702195,,
2012/03/14 08:58:15.239,-24.349845169466,,,
2012/03/14 09:32:40.007,,,-25.054357077464,
2012/03/14 09:44:05.830,,-24.946867919834,,
2012/03/14 09:58:27.950,-24.337548872251,,,
2012/03/14 10:32:44.405,,,-25.057648501659,
2012/03/14 10:44:19.479,,-24.94894438928,,
2012/03/14 10:58:35.661,-24.342424921645,,,
2012/03/14 11:32:53.257,,,-25.049486493313,
2012/03/14 11:44:24.378,,-24.941081108876,,
2012/03/14 11:46:27.065,-24.334140582656,-24.94485673526,-25.041995610561,
2012/03/14 12:46:30.917,,-24.941083201117,,
2012/03/14 12:46:33.979,-24.362280160695,,,
2012/03/14 12:46:50.276,,,-25.058150591717,
2012/03/14 13:46:30.987,,-24.957231602,,
2012/03/14 13:46:44.222,-24.349931691637,,,
2012/03/14 13:46:59.643,,,-25.054335372088,
2012/03/14 14:46:37.167,,-24.945170696329,,
2012/03/14 14:47:07.683,-24.354851389518,,-25.062691469103,
2012/03/14 15:46:48.816,,-24.957249099941,,
2012/03/14 15:47:19.441,-24.350359660226,,,
2012/03/14 15:47:31.691,,,-25.05437878284,
2012/03/14 16:46:49.168,,-24.945170696329,,
2012/03/14 16:47:19.574,-24.354764864651,,,
2012/03/14 16:47:38.933,,,-25.062691469103,
2012/03/14 17:47:00.657,,-24.94896584374,,
2012/03/14 17:47:31.173,-24.334183845372,,,
2012/03/14 17:47:46.485,,,-25.046470016461,
2012/03/14 18:47:08.244,,-24.945252980882,,
2012/03/14 18:47:37.884,-24.352061421603,,,
2012/03/14 18:47:54.181,,,-25.05437878284,
2012/03/14 19:47:16.174,,-24.945171157724,,
2012/03/14 19:47:38.705,-24.342503328318,,,
2012/03/14 19:47:55.002,,,-25.057762899273,
2012/03/14 20:47:23.885,,-24.94896584374,,
2012/03/14 20:47:39.307,-24.354765785128,,,
2012/03/14 20:48:09.932,,,-25.062619425916,
2012/03/14 21:47:35.206,,-24.947695036956,,
2012/03/14 21:47:47.456,-24.346645488172,,,
2012/03/14 21:48:16.877,,,-25.054360541088,
2012/03/14 22:47:53.636,-24.354851389518,-24.948926659179,,
2012/03/14 22:48:23.385,,,-25.070117938822,
2012/03/14 23:48:15.784,-24.342424921645,-24.945214067398,,
2012/03/14 23:48:31.097,,,-25.050265842299,
2012/03/15 00:48:22.730,-24.354073707688,-24.94896584374,,
2012/03/15 00:48:37.933,,,-25.061883083895,
2012/03/15 01:48:30.332,-24.334183845371,-24.94896584374,,
2012/03/15 01:49:00.957,,,-25.050265842299,
2012/03/15 02:48:30.335,,-24.945253253276,,
2012/03/15 02:48:37.444,-24.346567083018,,,
2012/03/15 02:49:08.069,,,-25.050658961791,
2012/03/15 03:48:31.265,,-24.944920118333,,
2012/03/15 03:48:42.421,-24.33409731994,,,
2012/03/15 03:49:16.109,,,-25.054270717775,
2012/03/15 04:48:37.555,,-24.945214067398,,
2012/03/15 04:48:51.883,-24.349953322179,,,
2012/03/15 04:49:38.695,,,-25.05437878284,
2012/03/15 05:48:40.344,,-24.943116337308,,
2012/03/15 05:49:00.688,-24.349931691637,,,
2012/03/15 05:49:46.515,,,-25.050244136894,
2012/03/15 06:48:49.040,,-24.957227838054,,
2012/03/15 06:49:01.290,-24.342464124988,,,
2012/03/15 06:49:54.227,,,-25.05437878284,
2012/03/15 07:49:01.235,,-24.944813364897,,
2012/03/15 07:49:16.548,-24.334119181419,,,
2012/03/15 07:49:54.282,,,-25.041981756011,
2012/03/15 08:49:09.275,,-24.941061515554,,
2012/03/15 08:49:24.478,-24.349931691637,,,
2012/03/15 08:49:55.103,,,-25.054335449126,
2012/03/15 09:49:28.986,-24.334179787517,,,
2012/03/15 09:49:31.939,,-24.941061515554,,
2012/03/15 09:49:55.470,,,-25.05030081391,
2012/03/15 10:49:29.494,-24.354929791637,,,
2012/03/15 10:49:40.650,,-24.941061515554,,
2012/03/15 10:49:55.963,,,-25.05437878284,
2012/03/15 11:49:48.013,-24.342424921645,-24.945214067398,,
2012/03/15 11:50:03.325,,,-25.05022243149,
2012/03/15 12:49:53.755,,-24.941100702195,,
2012/03/15 12:50:10.927,-24.346567083018,,,
2012/03/15 12:50:11.036,,,-25.054342761152,
2012/03/15 13:50:03.326,,-24.945164036686,,
2012/03/15 13:50:18.748,-24.342424921645,,-25.05022243149,
2012/03/15 14:50:03.334,,-24.945171157724,,
2012/03/15 14:50:25.756,-24.346653608109,,-25.050626440946,
2012/03/15 15:50:18.483,,-24.945214067398,,
2012/03/15 15:50:33.795,-24.349931691637,,-25.054357077464,
2012/03/15 16:50:21.163,,-24.948223335632,,
2012/03/15 16:50:40.632,-24.354765785128,,-25.058939273477,
2012/03/15 17:50:33.140,,-24.945214067398,,
2012/03/15 17:50:41.343,,,-25.054261211397,
2012/03/15 17:50:48.343,-24.346567083018,,,
2012/03/15 18:50:41.617,,-24.953432412788,-25.063059659343,
2012/03/15 18:50:56.820,-24.358950732507,,,
2012/03/15 19:50:50.094,,-24.949052584351,-25.054450826215,
2012/03/15 19:51:01.359,-24.354030446659,,,
2012/03/15 20:50:50.460,,,-25.052479905324,
2012/03/15 20:50:57.569,,-24.953490548323,,
2012/03/15 20:51:18.897,-24.358565420395,,,
2012/03/15 21:50:50.843,,,-25.058853374319,
2012/03/15 21:51:07.140,,-24.957227378672,,
2012/03/15 21:51:19.280,-24.357327701962,,,
2012/03/15 22:50:51.663,,,-25.058971793054,
2012/03/15 22:51:13.101,,-24.953519154697,,
2012/03/15 22:51:28.413,-24.354851389518,,,
2012/03/15 23:51:05.500,,,-25.062691469103,
2012/03/15 23:51:16.656,,-24.961401562423,,
2012/03/15 23:51:36.015,-24.346653608109,,,
2012/03/16 00:51:13.211,,,-25.066847804014,
2012/03/16 00:51:25.461,,-24.961379877355,,
2012/03/16 00:51:37.820,-24.356944093961,,,
2012/03/16 01:51:18.954,,,-25.058921262363,
2012/03/16 01:51:36.344,,-24.953519154697,,
2012/03/16 01:51:46.625,-24.346606285602,,,
2012/03/16 02:51:29.618,,,-25.066847804014,
2012/03/16 02:51:43.946,,-24.957251401941,,
2012/03/16 02:52:00.243,-24.354851389518,,,
2012/03/16 03:51:37.439,,,-25.054464680711,
2012/03/16 03:52:05.001,-24.349974952721,,,
2012/03/16 03:52:11.017,,-24.955404781721,,
2012/03/16 04:51:45.587,,,-25.066804393433,
2012/03/16 04:52:12.056,,-24.957650004704,,
2012/03/16 04:52:16.103,-24.362357723545,,,
2012/03/16 05:51:46.374,,,-25.054339592373,
2012/03/16 05:52:23.999,-24.344517634295,,,
2012/03/16 05:52:39.311,,-24.957270785037,,
2012/03/16 06:51:47.522,,,-25.062691469103,
2012/03/16 06:52:24.053,-24.354929791637,,,
2012/03/16 06:52:39.366,,-24.957184044652,,
2012/03/16 07:52:10.437,,,-25.05437878284,
2012/03/16 07:52:41.061,-24.341647643291,-24.94896584374,,
2012/03/16 08:52:13.445,,,-25.058910332542,
2012/03/16 08:53:00.257,-24.346523820471,,,
2012/03/16 08:53:06.273,,-24.95349746922,,
2012/03/16 09:52:14.375,,,-25.050665632732,
2012/03/16 09:53:00.312,-24.346523820471,,,
2012/03/16 09:53:26.671,,-24.945214067398,,
2012/03/16 10:52:14.758,,,-25.06307397585,
2012/03/16 10:53:04.633,-24.366456922714,,,
2012/03/16 10:53:42.367,,-24.949052584351,,
2012/03/16 11:52:24.047,,,-25.054359396069,
2012/03/16 11:53:12.828,-24.346567083018,,,
2012/03/16 11:53:51.547,,-24.953490240728,,
2012/03/16 12:52:35.477,,,-25.062705939315,
2012/03/16 12:53:21.415,-24.366499723351,,,
2012/03/16 12:53:52.040,,-24.953558339051,,
2012/03/16 13:52:41.767,,,-25.063134454107,
2012/03/16 13:53:29.563,-24.35489465195,,,
2012/03/16 13:54:15.501,,-24.953519154697,,
2012/03/16 14:52:59.851,,,-25.064335424699,
2012/03/16 14:53:37.585,-24.354851389518,,,
2012/03/16 14:54:23.631,,-24.953519154697,,
2012/03/16 15:52:59.903,,,-25.050626440946,
2012/03/16 15:53:45.621,-24.354073707688,,,
2012/03/16 15:54:31.558,,-24.945214067398,,
2012/03/16 16:53:06.973,,,-25.058939273477,
2012/03/16 16:53:46.786,-24.358565420395,,,
2012/03/16 16:54:37.645,,-24.953432412788,,
2012/03/16 17:53:09.653,,,-25.054346263092,
2012/03/16 17:53:55.591,-24.346606285602,,,
2012/03/16 17:54:38.465,,-24.945253253276,,
2012/03/16 18:53:19.224,,,-25.063086999253,
2012/03/16 18:53:56.083,-24.359071101197,,,
2012/03/16 18:55:05.098,,-24.945956595739,,
2012/03/16 19:53:28.248,,,-25.058170186275,
2012/03/16 19:54:00.732,-24.35489465195,,,
2012/03/16 19:55:17.294,,-24.945214067398,,
2012/03/16 20:53:39.022,,,-25.063095681522,
2012/03/16 20:54:09.537,-24.358993534645,,,
2012/03/16 20:55:33.099,,-24.957292470133,,
2012/03/16 21:53:47.170,,,-25.062652414684,
2012/03/16 21:54:16.701,-24.358950272269,,,
2012/03/16 21:55:33.154,,-24.946092922891,,
2012/03/16 22:54:09.428,,,-25.066847804014,
2012/03/16 22:54:23.756,-24.354873020734,,,
2012/03/16 22:55:56.397,,-24.945299886745,,
2012/03/16 23:54:32.123,-24.354145622443,,-25.054464680711,
2012/03/16 23:56:03.885,,-24.945214067398,,
2012/03/17 00:54:33.482,-24.356944093961,,,
2012/03/17 00:54:50.763,,,-25.06683474129,
2012/03/17 00:56:09.403,,-24.957184044652,,
2012/03/17 01:54:48.084,-24.354851389518,,,
2012/03/17 01:55:03.506,,,-25.06273487974,
2012/03/17 01:56:18.864,,-24.957251401941,,
2012/03/17 02:54:51.748,-24.370992040817,,,
2012/03/17 02:55:11.107,,,-25.075160457394,
2012/03/17 02:56:19.466,,-24.957710873743,,
2012/03/17 03:54:52.569,-24.346645488172,,,
2012/03/17 03:55:18.053,,,-25.06083164675,
2012/03/17 03:56:20.178,,-24.96142324749,,
2012/03/17 04:55:10.780,-24.359881523605,,,
2012/03/17 04:55:27.077,,,-25.06273487974,
2012/03/17 04:56:28.217,,-24.953558339051,,
2012/03/17 05:55:34.898,-24.346567083018,,-25.05437878284,
2012/03/17 05:56:28.928,,-24.957184044652,,
2012/03/17 06:55:38.015,-24.362271201713,,,
2012/03/17 06:55:46.109,,,-25.058960748266,
2012/03/17 06:56:44.077,,-24.953519154697,,
2012/03/17 07:55:50.101,-24.346567083018,,-25.05437878284,
2012/03/17 07:56:47.195,,-24.949001831866,,
2012/03/17 08:55:57.478,-24.346567083018,,-25.062691469103,
2012/03/17 08:56:47.566,,-24.945299886745,,
2012/03/17 09:56:07.134,-24.346567083018,,,
2012/03/17 09:56:07.243,,,-25.05437878284,
2012/03/17 09:56:47.930,,-24.945257438466,,
2012/03/17 10:56:15.173,-24.354873020734,,-25.062691469103,
2012/03/17 10:57:01.001,,-24.953475783743,,
