,phs_col:phs_col_dp.State_phos_module_3.Matrix_t_phos_module_3.Matrix_t_phos_module_3_0,phs_col:phs_col_dp.State_phos_module_3.Matrix_t_phos_module_3.Matrix_t_phos_module_3_16,
2012/03/29 03:49:28.152,-26.906396505818,,
2012/03/29 03:52:35.620,,-21.510504401476,
2012/03/29 04:11:40.933,-26.803731254867,,
2012/03/29 04:39:15.320,-26.906400172449,,
2012/03/29 04:53:09.955,,-21.510489925612,
2012/03/29 05:39:24.781,-26.976856468385,,
2012/03/29 05:47:57.746,-26.874188475152,,
2012/03/29 05:53:13.838,,-21.510504401476,
2012/03/29 06:48:33.457,-26.889034944106,,
2012/03/29 06:53:37.081,,-21.514333967305,
2012/03/29 07:49:10.044,-26.867027116701,,
2012/03/29 07:53:37.792,,-21.522934833003,
2012/03/29 08:49:54.942,-26.894855496637,,
2012/03/29 08:53:59.175,,-21.52672799999,
2012/03/29 09:49:55.216,-26.845194494601,,
2012/03/29 09:54:04.480,,-21.514662359789,
2012/03/29 10:49:55.818,-26.879453217942,,
2012/03/29 10:54:05.191,,-21.514583514557,
2012/03/29 11:50:04.732,-26.84514097189,,
2012/03/29 11:54:23.293,,-21.514647883943,
2012/03/29 12:42:35.478,-26.960174550859,,
2012/03/29 12:54:24.004,,-21.510547829068,
2012/03/29 13:24:17.307,-26.859883311184,,
2012/03/29 13:40:56.438,-26.960304325015,,
2012/03/29 13:48:07.919,-26.858095049303,,
2012/03/29 13:54:36.089,,-21.514618932252,
2012/03/29 14:48:07.974,-26.872054913093,,
2012/03/29 14:55:08.628,,-21.507118777614,
2012/03/29 15:48:08.904,-26.845614465485,,
2012/03/29 15:55:08.683,,-21.518863740254,
2012/03/29 16:48:12.678,-26.882846564502,,
2012/03/29 16:55:18.582,,-21.515387960134,
2012/03/29 17:48:36.139,-26.833199285276,,
2012/03/29 17:55:27.606,,-21.519484717508,
2012/03/29 18:48:36.413,-26.857628253101,,
2012/03/29 18:55:27.879,,-21.518840187369,
2012/03/29 19:48:36.468,-26.824513338298,,
2012/03/29 19:55:50.247,,-21.51470532533,
2012/03/29 20:48:48.008,-26.870039591072,,
2012/03/29 20:56:11.302,,-21.522978260429,
2012/03/29 21:49:03.156,-26.864978149302,,
2012/03/29 21:56:15.951,,-21.523021302379,
2012/03/29 22:49:03.511,-26.856638762374,,
2012/03/29 22:56:20.133,,-21.522978260429,
2012/03/29 23:49:12.753,-26.840062437666,,
2012/03/29 23:56:22.594,,-21.522999974141,
2012/03/30 00:49:40.371,-26.88664909647,,
2012/03/30 00:56:31.837,,-21.523086366996,
2012/03/30 01:49:46.441,-26.824441542872,,
2012/03/30 01:56:39.001,,-21.530951009233,
2012/03/30 02:49:49.340,-26.896782760527,,
2012/03/30 02:56:45.181,,-21.539179878754,
2012/03/30 03:49:57.927,-26.824514258753,,
2012/03/30 03:57:05.580,,-21.53922330525,
2012/03/30 04:50:18.325,-26.899040244678,,
2012/03/30 04:57:07.932,,-21.530968379875,
2012/03/30 05:50:25.380,-26.824441542872,,
2012/03/30 05:57:18.050,,-21.535491490244,
2012/03/30 06:50:31.779,-26.861719715774,,
2012/03/30 06:57:24.448,,-21.539609997766,
2012/03/30 07:50:37.472,-26.823581047003,,
2012/03/30 07:57:26.969,,-21.547838980281,
2012/03/30 08:41:00.249,-26.927091169339,,
2012/03/30 08:57:28.227,,-21.539649839681,
2012/03/30 09:05:36.146,-26.824513338299,,
2012/03/30 09:57:46.110,,-21.543404876642,
2012/03/30 10:05:36.748,-26.800047870357,,
2012/03/30 10:57:46.165,,-21.539626527924,
2012/03/30 11:05:45.881,-26.877382144574,,
2012/03/30 11:57:53.439,,-21.535495498683,
2012/03/30 12:01:15.344,-26.77523788005,,
2012/03/30 12:45:22.202,-26.881523979853,,
2012/03/30 12:57:55.791,,-21.531943874908,
2012/03/30 13:45:39.976,-26.854787543313,,
2012/03/30 13:58:22.971,,-21.537369272324,
2012/03/30 14:45:53.703,-26.907281324017,,
2012/03/30 14:58:40.307,,-21.535465211033,
2012/03/30 15:46:29.633,-26.870039591072,,
2012/03/30 15:59:17.440,,-21.539277578928,
2012/03/30 16:46:52.173,-26.871377144651,,
2012/03/30 16:59:25.978,,-21.551700436505,
2012/03/30 17:46:55.288,-26.870003693882,,
2012/03/30 17:59:26.799,,-21.547839751225,
2012/03/30 18:47:16.453,-26.861719715774,,
2012/03/30 18:59:44.354,,-21.542410589151,
2012/03/30 19:47:20.476,-26.840256329156,,
2012/03/30 19:59:53.737,,-21.551720567941,
2012/03/30 20:42:50.815,-26.943780626218,,
2012/03/30 20:52:32.139,-26.84148347469,,
2012/03/30 20:59:54.449,,-21.547947548011,
2012/03/30 21:52:37.116,-26.832725619681,,
2012/03/30 22:00:15.066,,-21.552083744823,
2012/03/30 22:52:41.218,-26.853779932732,,
2012/03/30 23:00:39.512,,-21.554364413417,
2012/03/30 23:53:30.273,-26.85770750116,,
2012/03/31 00:00:39.785,,-21.560438963842,
2012/03/31 00:53:48.812,-26.81240219132,,
2012/03/31 01:01:52.465,,-21.563836338746,
2012/03/31 01:37:09.080,-26.916916982278,,
2012/03/31 01:48:05.759,-26.816243967047,,
2012/03/31 02:02:00.600,,-21.552083744823,
2012/03/31 02:48:14.770,-26.872270825339,,
2012/03/31 03:02:09.842,,-21.555984965378,
2012/03/31 03:48:24.231,-26.802686326989,,
2012/03/31 04:02:45.335,,-21.555143217309,
2012/03/31 04:48:30.083,-26.845582299407,,
2012/03/31 05:02:45.937,,-21.551033526468,
2012/03/31 05:48:34.185,-26.79963198227,,
2012/03/31 06:02:49.273,,-21.547925834466,
2012/03/31 06:48:42.662,-26.858047288086,,
2012/03/31 07:03:04.094,,-21.551653422896,
2012/03/31 07:48:51.904,-26.805513365084,,
2012/03/31 08:03:31.055,,-21.550796637276,
2012/03/31 08:49:01.584,-26.857958450106,,
2012/03/31 09:03:31.438,,-21.541010447758,
2012/03/31 09:49:10.827,-26.814282285977,,
2012/03/31 10:04:38.102,,-21.547838980281,
2012/03/31 10:49:11.494,-26.853866456032,,
2012/03/31 11:04:44.123,,-21.542813149942,
2012/03/31 11:49:16.246,-26.812015386524,,
2012/03/31 12:04:47.897,,-21.540296563478,
2012/03/31 12:49:21.333,-26.853866456032,,
2012/03/31 13:04:53.311,,-21.547969261557,
2012/03/31 13:49:37.575,-26.824355020175,,
2012/03/31 14:05:11.413,,-21.551044267733,
2012/03/31 14:50:03.989,-26.841440212869,,
2012/03/31 15:05:11.905,,-21.549210467932,
2012/03/31 15:50:06.013,-26.783414526665,,
2012/03/31 16:05:30.335,,-21.551049638366,
2012/03/31 16:50:14.490,-26.831807398246,,
2012/03/31 17:05:30.391,,-21.547990975102,
2012/03/31 17:50:14.873,-26.815422727465,,
2012/03/31 18:05:39.524,,-21.560399549554,
2012/03/31 18:50:23.788,-26.847897923559,,
2012/03/31 19:05:48.547,,-21.552856649943,
2012/03/31 19:50:23.936,-26.795919701182,,
2012/03/31 20:05:57.757,,-21.572485982627,
2012/03/31 20:50:52.193,-26.820729697916,,
2012/03/31 21:06:07.000,,-21.560986254735,
2012/03/31 21:50:58.373,-26.82901392035,,
2012/03/31 22:07:09.836,,-21.572442556576,
2012/03/31 22:51:03.131,-26.800019045842,,
2012/03/31 23:07:21.156,,-21.560399549554,
2012/03/31 23:51:09.421,-26.803692483557,,
2012/04/01 00:07:28.430,,-21.560320991524,
2012/04/01 00:51:14.835,-26.841458161922,,
2012/04/01 01:07:37.673,,-21.570642093079,
2012/04/01 01:51:18.609,-26.816136043508,,
2012/04/01 02:07:46.696,,-21.568735039363,
2012/04/01 02:51:24.242,-26.808346585407,,
2012/04/01 03:07:57.142,,-21.57287321669,
2012/04/01 03:51:27.469,-26.835031235298,,
2012/04/01 04:08:13.931,,-21.572572372748,
2012/04/01 04:52:04.604,-26.80003346664,,
2012/04/01 05:08:23.453,,-21.568715332973,
2012/04/01 05:52:09.967,-26.77512327982,,
2012/04/01 06:08:42.429,,-21.572572834727,
2012/04/01 06:52:13.740,-26.809039066339,,
2012/04/01 07:10:02.218,,-21.576672743988,
2012/04/01 07:52:31.952,-26.777654119044,,
2012/04/01 08:10:02.382,,-21.56862940332,
2012/04/01 08:52:32.335,-26.79955040874,,
2012/04/01 09:10:14.687,,-21.568672368146,
2012/04/01 09:52:32.609,-26.80005127616,,
2012/04/01 10:10:19.774,,-21.572529408678,
2012/04/01 10:52:41.195,-26.82482901006,,
2012/04/01 11:10:26.063,,-21.560399549554,
2012/04/01 11:52:42.016,-26.778857327364,,
2012/04/01 12:10:31.587,,-21.552170598894,
2012/04/01 12:52:48.196,-26.808346585407,,
2012/04/01 13:10:53.407,,-21.552083744823,
2012/04/01 13:53:08.908,-26.811976681244,,
2012/04/01 14:10:58.228,,-21.552083744823,
2012/04/01 14:53:14.396,-26.787162925724,,
2012/04/01 15:11:04.186,,-21.552083744823,
2012/04/01 15:53:21.123,-26.836867649859,,
2012/04/01 16:11:10.585,,-21.552083744823,
2012/04/01 16:36:48.935,-26.733765438981,,
2012/04/01 17:03:48.877,-26.836846019271,,
2012/04/01 17:11:16.000,,-21.551783701882,
2012/04/01 18:04:16.167,-26.775155381692,,
2012/04/01 18:11:24.805,,-21.552062050589,
2012/04/01 19:04:33.394,-26.836867649859,,
2012/04/01 19:11:25.735,,-21.555858274549,
2012/04/01 20:04:36.949,-26.750312921254,,
2012/04/01 20:11:43.618,,-21.551783701882,
2012/04/01 21:04:41.707,-26.82452791202,,
2012/04/01 21:12:19.766,,-21.563373464286,
2012/04/01 22:04:43.402,-26.804204449564,,
2012/04/01 22:12:20.150,,-21.555941539106,
2012/04/01 23:04:44.111,-26.844085745792,,
2012/04/01 23:12:29.351,,-21.554884325441,
2012/04/02 00:05:10.804,-26.784681841871,,
2012/04/02 00:12:30.598,,-21.5559341474,
2012/04/02 01:05:29.016,-26.853830558068,,
2012/04/02 01:12:34.810,,-21.564084878865,
2012/04/02 01:58:26.339,-26.752150294173,,
2012/04/02 02:12:38.255,,-21.557955547345,
2012/04/02 02:44:29.243,-26.85670544562,,
2012/04/02 03:12:39.295,,-21.547969261557,
2012/04/02 03:44:29.626,-26.887398630312,,
2012/04/02 03:51:41.545,-26.787174898423,,
2012/04/02 04:12:39.350,,-21.551783701882,
2012/04/02 04:51:41.819,-26.823667566884,,
2012/04/02 05:12:57.342,,-21.55210027403,
2012/04/02 05:51:49.749,-26.77896525219,,
2012/04/02 06:13:06.585,,-21.56348303534,
2012/04/02 06:51:51.664,-26.84003234999,,
2012/04/02 07:13:07.077,,-21.563447636482,
2012/04/02 07:51:51.719,-26.772004054946,,
2012/04/02 08:13:16.300,,-21.562016766547,
2012/04/02 08:52:01.130,-26.802365743292,,
2012/04/02 09:13:16.434,,-21.552170598894,
2012/04/02 09:52:27.763,-26.805126365538,,
2012/04/02 10:13:16.599,,-21.561413244775,
2012/04/02 10:52:27.928,-26.782623422654,,
2012/04/02 11:13:25.951,,-21.560491118047,
2012/04/02 11:52:37.061,-26.762438673325,,
2012/04/02 12:13:33.006,,-21.551783701882,
2012/04/02 12:46:01.509,-26.863124996089,,
2012/04/02 13:13:38.748,,-21.555898112834,
2012/04/02 13:46:02.002,-26.819410295023,,
2012/04/02 14:13:52.897,,-21.561917286334,
2012/04/02 14:46:04.275,-26.856672885956,,
2012/04/02 15:14:15.765,,-21.555927063682,
2012/04/02 15:46:19.877,-26.857577718496,,
2012/04/02 16:05:59.370,-26.750341763309,,
2012/04/02 16:14:21.288,,-21.555984041415,
2012/04/02 17:05:59.425,-26.836906415071,,
2012/04/02 17:14:39.538,,-21.552257452963,
2012/04/02 18:05:50.695,-26.733782822231,,
2012/04/02 18:14:45.645,,-21.560312695703,
2012/04/02 19:04:39.110,-26.836824388683,,
2012/04/02 19:14:50.294,,-21.564213771411,
2012/04/02 20:03:37.259,-26.73378730076,,
2012/04/02 20:14:55.380,,-21.571841826372,
2012/04/02 21:03:45.846,-26.828161014972,,
2012/04/02 21:14:58.388,,-21.559241749313,
2012/04/02 22:04:04.166,-26.766439464802,,
2012/04/02 22:15:25.459,,-21.560938755194,
2012/04/02 23:04:12.753,-26.832725619681,,
2012/04/02 23:15:26.389,,-21.566749126327,
2012/04/03 00:04:13.136,-26.746213971675,,
2012/04/03 00:15:35.085,,-21.572572834727,
2012/04/03 01:04:13.628,-26.845119528138,,
2012/04/03 01:15:44.437,,-21.572830251919,
2012/04/03 02:00:37.341,-26.742843572816,,
2012/04/03 02:15:53.023,,-21.576647384851,
2012/04/03 03:00:46.664,-26.812423822431,,
2012/04/03 03:16:13.393,,-21.57287321669,
2012/04/03 04:01:05.094,-26.776046678561,,
2012/04/03 04:16:32.916,,-21.576774071307,
2012/04/03 05:01:05.259,-26.816146743816,,
2012/04/03 05:16:56.159,,-21.575932396106,
2012/04/03 06:01:23.470,-26.756544179582,,
2012/04/03 06:16:56.651,,-21.572889744315,
2012/04/03 07:01:23.634,-26.787679113899,,
2012/04/03 07:17:05.019,,-21.57287321669,
2012/04/03 08:01:38.892,-26.771023902525,,
2012/04/03 08:17:11.090,,-21.57287321669,
2012/04/03 09:01:41.572,-26.795791294543,,
2012/04/03 09:17:16.285,,-21.572960070205,
2012/04/03 10:02:18.487,-26.755342262273,,
2012/04/03 10:17:52.543,,-21.581188968143,
2012/04/03 11:02:41.292,-26.838159104985,,
2012/04/03 11:18:27.598,,-21.581175690046,
2012/04/03 12:02:54.095,-26.776039314451,,
2012/04/03 12:18:49.402,,-21.581188968143,
2012/04/03 13:03:03.041,-26.821546879889,,
2012/04/03 13:18:54.332,,-21.581103038821,
2012/04/03 14:03:11.690,-26.730531086711,,
2012/04/03 14:18:55.402,,-21.581109299537,
2012/04/03 14:39:12.629,-26.836846249384,,
2012/04/03 15:19:04.535,,-21.581102114849,
2012/04/03 15:39:13.231,-26.788529106051,,
2012/04/03 16:19:04.762,,-21.577798138864,
2012/04/03 16:39:31.176,-26.762728710752,,
2012/04/03 17:19:31.614,,-21.581513005456,
2012/04/03 17:39:31.341,-26.846400289697,,
2012/04/03 18:04:16.097,-26.738808915783,,
2012/04/03 18:19:31.997,,-21.589120787102,
2012/04/03 19:01:04.856,-26.845539037643,,
2012/04/03 19:19:39.927,,-21.585346835878,
2012/04/03 20:00:58.787,-26.738754719893,,
2012/04/03 20:19:41.623,,-21.585356794259,
2012/04/03 21:00:59.033,-26.820665358158,,
2012/04/03 21:19:41.870,,-21.585303409287,
2012/04/03 22:01:08.167,-26.738780379518,,
2012/04/03 22:20:08.284,,-21.577675452214,
2012/04/03 22:47:21.024,-26.841440212869,,
2012/04/03 23:20:17.308,,-21.585904608114,
2012/04/03 23:47:24.798,-26.763598086651,,
2012/04/04 00:20:30.051,,-21.577675914215,
2012/04/04 00:48:23.696,-26.825843322277,,
2012/04/04 01:20:36.121,,-21.585475729692,
2012/04/04 01:48:32.611,-26.782251193788,,
2012/04/04 02:20:37.926,,-21.593662555365,
2012/04/04 02:48:33.213,-26.817490692617,,
2012/04/04 03:20:42.466,,-21.585346835878,
2012/04/04 03:48:33.486,-26.825775655483,,
2012/04/04 04:20:45.583,,-21.596419981645,
2012/04/04 04:48:59.901,-26.868595252019,,
2012/04/04 05:20:46.513,,-21.590149924093,
2012/04/04 05:49:00.258,-26.78008980036,,
2012/04/04 06:20:55.065,,-21.591450901052,
2012/04/04 06:49:54.445,-26.814983657599,,
2012/04/04 07:20:55.558,,-21.599969609333,
2012/04/04 07:50:18.343,-26.780167355459,,
2012/04/04 08:21:04.144,,-21.595772236797,
